artifact_name,path,schema_version,model_class,git_sha
constrained_ols_av,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,3ee7051e98ad6dfb9756dbe69ae903fe0150e982
full_ols_av,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,3ee7051e98ad6dfb9756dbe69ae903fe0150e982
gbt_av,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_gbt_v1,gbt,3ee7051e98ad6dfb9756dbe69ae903fe0150e982
selected_ols_av,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,3ee7051e98ad6dfb9756dbe69ae903fe0150e982
selected_two_stage_av,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/training_artifact_av.json,two_stage_action_value_v1,two-stage,3ee7051e98ad6dfb9756dbe69ae903fe0150e982
roster,/Users/claude_runner/Projects/Bid-Euchre-meta/Bid-Euchre/data/artifacts/arc_d_v2/r2/roster.json,roster_v1,,
