model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,suit,0.5345,4.7733,2400,280
constrained_ols_av,high,0.3601,5.7471,600,70
constrained_ols_av,low,0.1855,6.6246,600,70
constrained_ols_av,pass,-0.1923,4.8548,80,8
full_ols_av,suit,0.3912,5.5614,2400,280
full_ols_av,high,0.2936,6.6438,600,70
full_ols_av,low,-0.1678,8.5602,600,70
full_ols_av,pass,-1.0305,7.1442,80,8
gbt_av,suit,0.3359,5.2664,2400,280
gbt_av,high,0.4812,4.4355,600,70
gbt_av,low,0.0124,6.9482,600,70
gbt_av,pass,-0.8131,6.5193,80,8
selected_ols_av,suit,0.4653,5.2105,2400,280
selected_ols_av,high,0.4512,5.2386,600,70
selected_ols_av,low,0.1552,7.059,600,70
selected_ols_av,pass,-1.1305,7.2516,80,8
selected_two_stage_av,suit,,,2400,280
selected_two_stage_av,high,0.4512,5.2386,600,70
selected_two_stage_av,low,0.1552,7.059,600,70
selected_two_stage_av,pass,-1.1305,7.2516,80,8
