model,net_eppd,eppd,bid_rate,pass_rate,make_rate,cvar_5,net_cvar_5,mix_suit,mix_high,mix_low,source
modeloespecifico,0.78,4.96,1.0,0.0,0.9,-5.5,-11.0,0.98,0.0,0.02,comparator
selected_two_stage_av,1.8,5.24,0.9,0.1,0.9556,-4.5,-11.0,0.72,0.02,0.26,comparator
gbt_av,3.12,6.36,1.0,0.0,0.96,-5.5,-11.0,0.4,0.24,0.36,comparator
constrained_ols_av,1.72,5.86,1.0,0.0,1.0,3.0,-4.0,0.7,0.1,0.2,comparator
selected_ols_av,1.92,5.56,0.92,0.08,1.0,3.0,-4.0,0.66,0.08,0.26,comparator
full_ols_av,1.96,5.48,0.9,0.1,1.0,3.0,-4.0,1.0,0.0,0.0,comparator
stricthellraiser,0.14,4.88,1.0,0.0,0.92,-3.0,-11.5,1.0,0.0,0.0,comparator
rankthetank,-11.3,-6.86,1.0,0.0,0.06,-9.5,-15.0,1.0,0.0,0.0,comparator
modeloespecifico,4.8,,0.48,0.52,0.9167,-1.4,,0.98,0.0,0.02,h2h_self_play
selected_two_stage_av,4.72,,0.68,0.32,0.9118,-3.2,,0.72,0.02,0.26,h2h_self_play
gbt_av,2.18,,0.4,0.6,0.35,-8.0,,0.4,0.24,0.36,h2h_self_play
constrained_ols_av,4.93,,0.58,0.42,0.9655,0.4,,0.7,0.1,0.2,h2h_self_play
selected_ols_av,5.0,,0.5,0.5,1.0,1.4,,0.66,0.08,0.26,h2h_self_play
full_ols_av,4.86,,0.54,0.46,0.9259,-0.8,,1.0,0.0,0.0,h2h_self_play
stricthellraiser,2.09,,0.54,0.46,0.3333,-6.0,,1.0,0.0,0.0,h2h_self_play
rankthetank,-1.94,,0.4,0.6,0.1,-9.8,,1.0,0.0,0.0,h2h_self_play
anchor_hybrid_r0_full,4.21,,0.34,0.66,0.8824,-3.2,,0.8222,0.1111,0.0667,h2h_self_play
