model,facet,net_eppd,ci_low,ci_high,bid_rate,make_rate,net_cvar_5,rank
gbt_av,pooled,3.12,2.0,4.1605,1.0,0.96,-11.0,1
full_ols_av,pooled,1.96,1.0,2.92,0.9,1.0,-4.0,2
selected_ols_av,pooled,1.92,1.119,2.76,0.92,1.0,-4.0,3
selected_two_stage_av,pooled,1.8,0.64,2.8805,0.9,0.9556,-11.0,4
constrained_ols_av,pooled,1.72,0.92,2.521,1.0,1.0,-4.0,5
modeloespecifico,pooled,0.78,-0.58,2.0,1.0,0.9,-11.0,6
stricthellraiser,pooled,0.14,-1.06,1.2605,1.0,0.92,-11.5,7
rankthetank,pooled,-11.3,-12.36,-9.919,1.0,0.06,-15.0,8
