model,contract,deals,fraction
modeloespecifico,suit,2350,0.94
modeloespecifico,high,70,0.028
modeloespecifico,low,80,0.032
selected_two_stage_av,suit,2398,0.9592
selected_two_stage_av,high,36,0.0144
selected_two_stage_av,low,66,0.0264
gbt_av,suit,1745,0.698
gbt_av,high,212,0.0848
gbt_av,low,543,0.2172
constrained_ols_av,suit,1937,0.7748
constrained_ols_av,high,138,0.0552
constrained_ols_av,low,425,0.17
selected_ols_av,suit,1875,0.75
selected_ols_av,high,236,0.0944
selected_ols_av,low,389,0.1556
full_ols_av,suit,470,0.188
full_ols_av,high,528,0.2112
full_ols_av,low,1502,0.6008
stricthellraiser,suit,2500,1.0
stricthellraiser,high,0,0.0
stricthellraiser,low,0,0.0
rankthetank,suit,2500,1.0
rankthetank,high,0,0.0
rankthetank,low,0,0.0
anchor_hybrid_r0_full,suit,1598,0.7686
anchor_hybrid_r0_full,high,203,0.0976
anchor_hybrid_r0_full,low,278,0.1337
