model,contract,pred_bin,mean_pred,actual_mean,n_samples
constrained_ols_av,pass,1,-1.2512,3.28,500
constrained_ols_av,pass,2,-0.9073,3.126,500
constrained_ols_av,pass,3,-0.9073,3.24,500
constrained_ols_av,pass,4,-0.6313,3.154,500
constrained_ols_av,pass,5,-0.4548,3.08,500
constrained_ols_av,pass,6,-0.4548,3.264,500
constrained_ols_av,pass,7,-0.4313,3.484,500
constrained_ols_av,pass,8,-0.0023,3.008,500
constrained_ols_av,pass,9,-0.0023,3.266,500
constrained_ols_av,pass,10,0.4637,3.252,500
full_ols_av,pass,1,-2.5408,3.146,500
full_ols_av,pass,2,-1.7295,3.326,500
full_ols_av,pass,3,-1.2865,3.018,500
full_ols_av,pass,4,-0.9268,2.646,500
full_ols_av,pass,5,-0.6353,2.842,500
full_ols_av,pass,6,-0.3577,2.542,500
full_ols_av,pass,7,-0.0764,2.53,500
full_ols_av,pass,8,0.2455,2.53,500
full_ols_av,pass,9,0.7779,3.374,500
full_ols_av,pass,10,1.8767,6.2,500
gbt_av,pass,1,-3.2236,2.878,500
gbt_av,pass,2,-1.9108,3.44,500
gbt_av,pass,3,-1.2607,3.014,500
gbt_av,pass,4,-0.8585,2.734,500
gbt_av,pass,5,-0.5582,2.638,500
gbt_av,pass,6,-0.2767,2.644,500
gbt_av,pass,7,-0.0402,2.448,500
gbt_av,pass,8,0.2336,2.356,500
gbt_av,pass,9,0.6735,3.316,500
gbt_av,pass,10,2.6314,6.686,500
selected_ols_av,pass,1,-2.4832,3.236,500
selected_ols_av,pass,2,-1.6238,3.154,500
selected_ols_av,pass,3,-1.1035,2.354,500
selected_ols_av,pass,4,-0.7626,2.764,500
selected_ols_av,pass,5,-0.5814,2.2,500
selected_ols_av,pass,6,-0.3571,3.116,500
selected_ols_av,pass,7,-0.1077,2.056,500
selected_ols_av,pass,8,0.1586,3.09,500
selected_ols_av,pass,9,0.6583,4.07,500
selected_ols_av,pass,10,1.4868,6.114,500
selected_two_stage_av,pass,1,-2.5977,3.226,500
selected_two_stage_av,pass,2,-1.7095,3.068,500
selected_two_stage_av,pass,3,-1.1569,2.568,500
selected_two_stage_av,pass,4,-0.8257,2.464,500
selected_two_stage_av,pass,5,-0.5597,2.612,500
selected_two_stage_av,pass,6,-0.3262,2.756,500
selected_two_stage_av,pass,7,-0.0628,2.726,500
selected_two_stage_av,pass,8,0.2417,2.548,500
selected_two_stage_av,pass,9,0.7134,3.992,500
selected_two_stage_av,pass,10,1.5498,6.194,500
