model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.0272,28248,0.4359
modeloespecifico,modeloespecifico,high,0.1027,837,0.4504
modeloespecifico,modeloespecifico,low,-0.1333,915,0.436
modeloespecifico,modeloespecifico,pooled,-0.0268,30000,0.4363
modeloespecifico,selected_two_stage_av,suit,0.1071,28691,0.4218
modeloespecifico,selected_two_stage_av,high,1.5082,547,0.5886
modeloespecifico,selected_two_stage_av,low,0.273,762,0.4711
modeloespecifico,selected_two_stage_av,pooled,0.1369,30000,0.4261
selected_two_stage_av,modeloespecifico,suit,-0.1428,28698,0.4487
selected_two_stage_av,modeloespecifico,high,-1.5511,568,0.3063
selected_two_stage_av,modeloespecifico,low,-0.9768,734,0.3787
selected_two_stage_av,modeloespecifico,pooled,-0.1899,30000,0.4443
modeloespecifico,gbt_av,suit,-0.6343,23791,0.3372
modeloespecifico,gbt_av,high,-1.3794,2359,0.2124
modeloespecifico,gbt_av,low,-1.3844,3850,0.2002
modeloespecifico,gbt_av,pooled,-0.7891,30000,0.3098
gbt_av,modeloespecifico,suit,0.6567,23826,0.5759
gbt_av,modeloespecifico,high,1.2412,2421,0.6704
gbt_av,modeloespecifico,low,1.3283,3753,0.724
gbt_av,modeloespecifico,pooled,0.7879,30000,0.602
modeloespecifico,full_ols_av,suit,1.2188,25811,0.6212
modeloespecifico,full_ols_av,high,0.1219,1403,0.4455
modeloespecifico,full_ols_av,low,0.1339,2786,0.4232
modeloespecifico,full_ols_av,pooled,1.0668,30000,0.5946
full_ols_av,modeloespecifico,suit,-1.214,25876,0.2289
full_ols_av,modeloespecifico,high,-0.2471,1396,0.4047
full_ols_av,modeloespecifico,low,-0.5143,2728,0.415
full_ols_av,modeloespecifico,pooled,-1.1054,30000,0.254
modeloespecifico,anchor_hybrid_r0_full,suit,0.5268,25766,0.4955
modeloespecifico,anchor_hybrid_r0_full,high,-0.3148,1760,0.3511
modeloespecifico,anchor_hybrid_r0_full,low,-0.4139,2474,0.3383
modeloespecifico,anchor_hybrid_r0_full,pooled,0.3998,30000,0.4741
anchor_hybrid_r0_full,modeloespecifico,suit,-0.548,25775,0.3875
anchor_hybrid_r0_full,modeloespecifico,high,0.182,1709,0.5682
anchor_hybrid_r0_full,modeloespecifico,low,0.1228,2516,0.5751
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.4502,30000,0.4135
selected_two_stage_av,selected_two_stage_av,suit,0.0032,29011,0.4205
selected_two_stage_av,selected_two_stage_av,high,0.3607,366,0.4645
selected_two_stage_av,selected_two_stage_av,low,0.0112,623,0.4527
selected_two_stage_av,selected_two_stage_av,pooled,0.0078,30000,0.4217
selected_two_stage_av,gbt_av,suit,-1.1334,24018,0.2867
selected_two_stage_av,gbt_av,high,-1.8323,2159,0.1746
selected_two_stage_av,gbt_av,low,-1.6322,3823,0.1818
selected_two_stage_av,gbt_av,pooled,-1.2473,30000,0.2653
gbt_av,selected_two_stage_av,suit,1.1221,24051,0.6102
gbt_av,selected_two_stage_av,high,1.9225,2219,0.7125
gbt_av,selected_two_stage_av,low,1.5271,3730,0.7222
gbt_av,selected_two_stage_av,pooled,1.2316,30000,0.6317
selected_two_stage_av,full_ols_av,suit,1.733,23314,0.6379
selected_two_stage_av,full_ols_av,high,-0.4998,2387,0.3762
selected_two_stage_av,full_ols_av,low,-0.451,4299,0.358
selected_two_stage_av,full_ols_av,pooled,1.2424,30000,0.5769
full_ols_av,selected_two_stage_av,suit,-1.7057,23408,0.1907
full_ols_av,selected_two_stage_av,high,0.3618,2416,0.4607
full_ols_av,selected_two_stage_av,low,0.2608,4176,0.4742
full_ols_av,selected_two_stage_av,pooled,-1.2655,30000,0.2519
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.2593,22450,0.4395
selected_two_stage_av,anchor_hybrid_r0_full,high,0.8697,3669,0.4873
selected_two_stage_av,anchor_hybrid_r0_full,low,0.2092,3881,0.4102
selected_two_stage_av,anchor_hybrid_r0_full,pooled,0.3275,30000,0.4416
anchor_hybrid_r0_full,selected_two_stage_av,suit,-0.2671,22478,0.4522
anchor_hybrid_r0_full,selected_two_stage_av,high,-0.9997,3630,0.3708
anchor_hybrid_r0_full,selected_two_stage_av,low,-0.4347,3892,0.462
