model,bid_rate,make_rate,pass_rate
modeloespecifico,1.0,0.9496,0.0
selected_two_stage_av,1.0,0.996,0.0
gbt_av,0.9396,0.9885,0.0604
constrained_ols_av,1.0,1.0,0.0
selected_ols_av,1.0,1.0,0.0
full_ols_av,1.0,1.0,0.0
stricthellraiser,1.0,0.9472,0.0
rankthetank,1.0,0.1476,0.0
