model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.16,2350,0.4209
modeloespecifico,modeloespecifico,high,-0.6,70,0.4429
modeloespecifico,modeloespecifico,low,-0.1625,80,0.3875
modeloespecifico,modeloespecifico,pooled,-0.1724,2500,0.4204
modeloespecifico,selected_two_stage_av,suit,0.0686,2375,0.4291
modeloespecifico,selected_two_stage_av,high,-0.0377,53,0.5094
modeloespecifico,selected_two_stage_av,low,1.0278,72,0.5417
modeloespecifico,selected_two_stage_av,pooled,0.094,2500,0.434
selected_two_stage_av,modeloespecifico,suit,-0.2647,2395,0.4397
selected_two_stage_av,modeloespecifico,high,-2.087,46,0.2826
selected_two_stage_av,modeloespecifico,low,-0.8475,59,0.339
selected_two_stage_av,modeloespecifico,pooled,-0.312,2500,0.4344
modeloespecifico,gbt_av,suit,-0.5843,2011,0.3859
modeloespecifico,gbt_av,high,-3.0428,187,0.1551
modeloespecifico,gbt_av,low,-2.0828,302,0.1921
modeloespecifico,gbt_av,pooled,-0.9492,2500,0.3452
gbt_av,modeloespecifico,suit,0.2205,2018,0.4906
gbt_av,modeloespecifico,high,1.6648,179,0.6872
gbt_av,modeloespecifico,low,1.7954,303,0.7228
gbt_av,modeloespecifico,pooled,0.5148,2500,0.5328
modeloespecifico,constrained_ols_av,suit,1.1856,2225,0.6234
modeloespecifico,constrained_ols_av,high,0.044,91,0.5385
modeloespecifico,constrained_ols_av,low,0.8207,184,0.5217
modeloespecifico,constrained_ols_av,pooled,1.1172,2500,0.6128
constrained_ols_av,modeloespecifico,suit,-1.3724,2245,0.2111
constrained_ols_av,modeloespecifico,high,-1.8026,76,0.3026
constrained_ols_av,modeloespecifico,low,-1.0056,179,0.3184
constrained_ols_av,modeloespecifico,pooled,-1.3592,2500,0.2216
modeloespecifico,selected_ols_av,suit,1.1546,2218,0.6208
modeloespecifico,selected_ols_av,high,-0.1856,97,0.5155
modeloespecifico,selected_ols_av,low,0.8541,185,0.5243
modeloespecifico,selected_ols_av,pooled,1.0804,2500,0.6096
selected_ols_av,modeloespecifico,suit,-1.3344,2243,0.2171
selected_ols_av,modeloespecifico,high,-1.4444,81,0.3333
selected_ols_av,modeloespecifico,low,-1.1023,176,0.3125
selected_ols_av,modeloespecifico,pooled,-1.3216,2500,0.2276
modeloespecifico,full_ols_av,suit,1.0883,2243,0.617
modeloespecifico,full_ols_av,high,0.3596,89,0.5618
modeloespecifico,full_ols_av,low,1.0476,168,0.5417
modeloespecifico,full_ols_av,pooled,1.0596,2500,0.61
full_ols_av,modeloespecifico,suit,-1.2155,2251,0.2261
full_ols_av,modeloespecifico,high,-1.7647,85,0.2941
full_ols_av,modeloespecifico,low,-1.1524,164,0.311
full_ols_av,modeloespecifico,pooled,-1.23,2500,0.234
modeloespecifico,stricthellraiser,suit,4.5897,2493,0.5335
modeloespecifico,stricthellraiser,high,6.0,3,1.0
modeloespecifico,stricthellraiser,low,4.5,4,1.0
modeloespecifico,stricthellraiser,pooled,4.5912,2500,0.5348
stricthellraiser,modeloespecifico,suit,-5.2651,2493,0.3446
stricthellraiser,modeloespecifico,high,-3.0,2,0.0
stricthellraiser,modeloespecifico,low,-4.0,5,0.0
stricthellraiser,modeloespecifico,pooled,-5.2608,2500,0.3436
modeloespecifico,rankthetank,suit,10.4808,2500,0.8996
modeloespecifico,rankthetank,pooled,10.4808,2500,0.8996
rankthetank,modeloespecifico,suit,-10.5044,2500,0.1024
rankthetank,modeloespecifico,pooled,-10.5044,2500,0.1024
modeloespecifico,anchor_hybrid_r0_full,suit,0.3443,2129,0.4735
modeloespecifico,anchor_hybrid_r0_full,high,-0.415,147,0.3605
modeloespecifico,anchor_hybrid_r0_full,low,-0.4107,224,0.3393
modeloespecifico,anchor_hybrid_r0_full,pooled,0.232,2500,0.4548
anchor_hybrid_r0_full,modeloespecifico,suit,-0.6416,2157,0.3751
anchor_hybrid_r0_full,modeloespecifico,high,-0.1857,140,0.5214
anchor_hybrid_r0_full,modeloespecifico,low,0.069,203,0.5665
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.5584,2500,0.3988
selected_two_stage_av,selected_two_stage_av,suit,0.0099,2423,0.4292
selected_two_stage_av,selected_two_stage_av,high,0.6562,32,0.5312
selected_two_stage_av,selected_two_stage_av,low,-0.0889,45,0.4444
selected_two_stage_av,selected_two_stage_av,pooled,0.0164,2500,0.4308
selected_two_stage_av,gbt_av,suit,-0.6652,2025,0.3709
selected_two_stage_av,gbt_av,high,-2.7427,171,0.1462
selected_two_stage_av,gbt_av,low,-2.0362,304,0.1842
selected_two_stage_av,gbt_av,pooled,-0.974,2500,0.3328
gbt_av,selected_two_stage_av,suit,0.3905,2023,0.4978
gbt_av,selected_two_stage_av,high,2.1977,172,0.7442
gbt_av,selected_two_stage_av,low,1.2557,305,0.6787
gbt_av,selected_two_stage_av,pooled,0.6204,2500,0.5368
selected_two_stage_av,constrained_ols_av,suit,0.8237,2292,0.5698
selected_two_stage_av,constrained_ols_av,high,-0.9048,63,0.4127
selected_two_stage_av,constrained_ols_av,low,-0.3724,145,0.3655
selected_two_stage_av,constrained_ols_av,pooled,0.7108,2500,0.554
constrained_ols_av,selected_two_stage_av,suit,-0.9558,2287,0.2672
constrained_ols_av,selected_two_stage_av,high,0.6806,72,0.4861
constrained_ols_av,selected_two_stage_av,low,-0.3546,141,0.4043
constrained_ols_av,selected_two_stage_av,pooled,-0.8748,2500,0.2812
selected_two_stage_av,selected_ols_av,suit,0.8147,2278,0.5716
selected_two_stage_av,selected_ols_av,high,-1.3855,83,0.3373
selected_two_stage_av,selected_ols_av,low,-0.4029,139,0.3741
selected_two_stage_av,selected_ols_av,pooled,0.674,2500,0.5528
selected_ols_av,selected_two_stage_av,suit,-0.9039,2280,0.2732
selected_ols_av,selected_two_stage_av,high,0.9231,91,0.5495
selected_ols_av,selected_two_stage_av,low,-0.3953,129,0.4031
selected_ols_av,selected_two_stage_av,pooled,-0.8112,2500,0.29
selected_two_stage_av,full_ols_av,suit,0.8493,2263,0.5736
selected_two_stage_av,full_ols_av,high,-0.7976,84,0.381
selected_two_stage_av,full_ols_av,low,-0.5163,153,0.366
selected_two_stage_av,full_ols_av,pooled,0.7104,2500,0.5544
full_ols_av,selected_two_stage_av,suit,-0.8831,2267,0.2828
full_ols_av,selected_two_stage_av,high,0.6296,81,0.4815
full_ols_av,selected_two_stage_av,low,-0.2697,152,0.4079
full_ols_av,selected_two_stage_av,pooled,-0.7968,2500,0.2968
selected_two_stage_av,stricthellraiser,suit,2.597,2496,0.4351
selected_two_stage_av,stricthellraiser,low,7.0,4,1.0
selected_two_stage_av,stricthellraiser,pooled,2.604,2500,0.436
stricthellraiser,selected_two_stage_av,suit,-3.0565,2494,0.3869
stricthellraiser,selected_two_stage_av,low,-3.1667,6,0.1667
stricthellraiser,selected_two_stage_av,pooled,-3.0568,2500,0.3864
selected_two_stage_av,rankthetank,suit,10.4836,2500,0.8996
selected_two_stage_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,selected_two_stage_av,suit,-10.52,2500,0.1024
rankthetank,selected_two_stage_av,pooled,-10.52,2500,0.1024
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.1269,2026,0.4289
selected_two_stage_av,anchor_hybrid_r0_full,high,0.3058,206,0.4029
