model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.16,7050,0.4209
modeloespecifico,modeloespecifico,high,-0.6,210,0.4429
modeloespecifico,modeloespecifico,low,-0.1625,240,0.3875
modeloespecifico,modeloespecifico,pooled,-0.1724,7500,0.4204
modeloespecifico,selected_two_stage_av,suit,0.0617,7098,0.426
modeloespecifico,selected_two_stage_av,high,-0.4909,165,0.4727
modeloespecifico,selected_two_stage_av,low,1.0253,237,0.5316
modeloespecifico,selected_two_stage_av,pooled,0.08,7500,0.4304
selected_two_stage_av,modeloespecifico,suit,-0.3013,7158,0.4422
selected_two_stage_av,modeloespecifico,high,-2.0435,138,0.3043
selected_two_stage_av,modeloespecifico,low,-1.3088,204,0.3382
selected_two_stage_av,modeloespecifico,pooled,-0.3608,7500,0.4368
modeloespecifico,gbt_av,suit,-0.733,5865,0.3483
modeloespecifico,gbt_av,high,-2.3693,528,0.1875
modeloespecifico,gbt_av,low,-0.935,1107,0.2331
modeloespecifico,gbt_av,pooled,-0.878,7500,0.32
gbt_av,modeloespecifico,suit,0.5398,5913,0.5327
gbt_av,modeloespecifico,high,1.954,522,0.7126
gbt_av,modeloespecifico,low,0.631,1065,0.6732
gbt_av,modeloespecifico,pooled,0.6512,7500,0.5652
modeloespecifico,constrained_ols_av,suit,1.1856,6675,0.6234
modeloespecifico,constrained_ols_av,high,0.044,273,0.5385
modeloespecifico,constrained_ols_av,low,0.8207,552,0.5217
modeloespecifico,constrained_ols_av,pooled,1.1172,7500,0.6128
constrained_ols_av,modeloespecifico,suit,-1.3724,6735,0.2111
constrained_ols_av,modeloespecifico,high,-1.8026,228,0.3026
constrained_ols_av,modeloespecifico,low,-1.0056,537,0.3184
constrained_ols_av,modeloespecifico,pooled,-1.3592,7500,0.2216
modeloespecifico,selected_ols_av,suit,0.892,6582,0.5866
modeloespecifico,selected_ols_av,high,-0.7434,339,0.4159
modeloespecifico,selected_ols_av,low,0.6114,579,0.4611
modeloespecifico,selected_ols_av,pooled,0.7964,7500,0.5692
selected_ols_av,modeloespecifico,suit,-1.2289,6657,0.2483
selected_ols_av,modeloespecifico,high,-1.0761,276,0.3696
selected_ols_av,modeloespecifico,low,-0.8148,567,0.3757
selected_ols_av,modeloespecifico,pooled,-1.192,7500,0.2624
modeloespecifico,full_ols_av,suit,1.1649,6369,0.6194
modeloespecifico,full_ols_av,high,-0.2574,303,0.505
modeloespecifico,full_ols_av,low,0.6848,828,0.4493
modeloespecifico,full_ols_av,pooled,1.0544,7500,0.596
full_ols_av,modeloespecifico,suit,-1.3138,6396,0.2101
full_ols_av,modeloespecifico,high,-1.0842,285,0.3368
full_ols_av,modeloespecifico,low,-0.6117,819,0.4176
full_ols_av,modeloespecifico,pooled,-1.2284,7500,0.2376
modeloespecifico,stricthellraiser,suit,4.5897,7479,0.5335
modeloespecifico,stricthellraiser,high,6.0,9,1.0
modeloespecifico,stricthellraiser,low,4.5,12,1.0
modeloespecifico,stricthellraiser,pooled,4.5912,7500,0.5348
stricthellraiser,modeloespecifico,suit,-5.2651,7479,0.3446
stricthellraiser,modeloespecifico,high,-3.0,6,0.0
stricthellraiser,modeloespecifico,low,-4.0,15,0.0
stricthellraiser,modeloespecifico,pooled,-5.2608,7500,0.3436
modeloespecifico,rankthetank,suit,10.4808,7500,0.8996
modeloespecifico,rankthetank,pooled,10.4808,7500,0.8996
rankthetank,modeloespecifico,suit,-10.5044,7500,0.1024
rankthetank,modeloespecifico,pooled,-10.5044,7500,0.1024
modeloespecifico,anchor_hybrid_r0_full,suit,0.3443,6387,0.4735
modeloespecifico,anchor_hybrid_r0_full,high,-0.415,441,0.3605
modeloespecifico,anchor_hybrid_r0_full,low,-0.4107,672,0.3393
modeloespecifico,anchor_hybrid_r0_full,pooled,0.232,7500,0.4548
anchor_hybrid_r0_full,modeloespecifico,suit,-0.6416,6471,0.3751
anchor_hybrid_r0_full,modeloespecifico,high,-0.1857,420,0.5214
anchor_hybrid_r0_full,modeloespecifico,low,0.069,609,0.5665
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.5584,7500,0.3988
selected_two_stage_av,selected_two_stage_av,suit,0.0384,7194,0.4299
selected_two_stage_av,selected_two_stage_av,high,0.8611,108,0.5556
selected_two_stage_av,selected_two_stage_av,low,-0.0152,198,0.4394
selected_two_stage_av,selected_two_stage_av,pooled,0.0488,7500,0.432
selected_two_stage_av,gbt_av,suit,-0.9459,5991,0.3205
selected_two_stage_av,gbt_av,high,-2.6207,435,0.1724
selected_two_stage_av,gbt_av,low,-1.0642,1074,0.2402
selected_two_stage_av,gbt_av,pooled,-1.06,7500,0.3004
gbt_av,selected_two_stage_av,suit,0.9313,5892,0.5601
gbt_av,selected_two_stage_av,high,1.6918,477,0.7044
