model,contract,feature_name,importance
gbt_av,low,trump_D,0.0
gbt_av,low,trump_H,0.0
gbt_av,low,trump_S,0.0
gbt_av,low,trump_ace_count,0.0
gbt_av,low,trump_count,0.0
gbt_av,low,trump_count_x_offsuit_ace,0.0
gbt_av,low,trump_count_x_void_count,0.0
gbt_av,low,trump_duplicate_pairs,0.0
gbt_av,low,trump_king_count,0.0
gbt_av,low,trump_lb_count,0.0
gbt_av,low,trump_power_sum,0.0
gbt_av,low,trump_queen_count,0.0
gbt_av,low,trump_rb_count,0.0
gbt_av,low,trump_ten_count,0.0
gbt_av,low,void_count,0.0005
gbt_av,pass,auction_position,0.022
gbt_av,pass,bowers,0.0
gbt_av,pass,current_high_bid,0.1068
gbt_av,pass,double_ten_jack_count,0.0096
gbt_av,pass,fourth_suit_len,0.0121
gbt_av,pass,hand_value,0.0594
gbt_av,pass,high_card_count,0.0237
gbt_av,pass,highest_trump_rank,0.0
gbt_av,pass,is_dealer,0.0033
gbt_av,pass,is_high,0.0
gbt_av,pass,is_low,0.0
gbt_av,pass,losing_tricks_count,0.0407
gbt_av,pass,low_card_count,0.0295
gbt_av,pass,max_suit_len,0.0208
gbt_av,pass,num_doubletons,0.018
gbt_av,pass,num_singletons,0.0142
gbt_av,pass,offsuit_aces,0.0111
gbt_av,pass,offsuit_best_rank_sum,0.0738
gbt_av,pass,offsuit_king_count_total,0.0359
gbt_av,pass,offsuit_length_3plus_count,0.0059
gbt_av,pass,offsuit_non_ace_count,0.0201
gbt_av,pass,offsuit_queen_count_total,0.0365
gbt_av,pass,offsuit_secondbest_rank_sum,0.0621
gbt_av,pass,offsuit_suits_with_ace,0.0244
gbt_av,pass,offsuit_suits_with_ace_and_king,0.0187
gbt_av,pass,offsuit_suits_with_double_ace,0.0094
gbt_av,pass,offsuit_tens_count,0.0535
gbt_av,pass,opp_left_level_high,0.0163
gbt_av,pass,opp_left_level_low,0.0211
gbt_av,pass,opp_left_level_off_color,0.0
gbt_av,pass,opp_left_level_same_color,0.0
gbt_av,pass,opp_left_level_same_suit,0.0
gbt_av,pass,opp_left_passed,0.0086
gbt_av,pass,opp_right_level_high,0.0214
gbt_av,pass,opp_right_level_low,0.0297
gbt_av,pass,opp_right_level_off_color,0.0
gbt_av,pass,opp_right_level_same_color,0.0
gbt_av,pass,opp_right_level_same_suit,0.0
gbt_av,pass,opp_right_passed,0.0368
gbt_av,pass,partner_level_high,0.0188
gbt_av,pass,partner_level_low,0.0238
gbt_av,pass,partner_level_off_color,0.0
gbt_av,pass,partner_level_same_color,0.0
gbt_av,pass,partner_level_same_suit,0.0
gbt_av,pass,partner_passed,0.044
gbt_av,pass,quick_tricks,0.0248
gbt_av,pass,seat_rel_1,0.002
gbt_av,pass,seat_rel_2,0.0042
gbt_av,pass,seat_rel_3,0.0079
gbt_av,pass,second_highest_trump_rank,0.0
gbt_av,pass,second_suit_len,0.0137
gbt_av,pass,third_highest_trump_rank,0.0
gbt_av,pass,third_suit_len,0.0084
gbt_av,pass,trump_C,0.0
gbt_av,pass,trump_D,0.0
gbt_av,pass,trump_H,0.0
gbt_av,pass,trump_S,0.0
gbt_av,pass,trump_ace_count,0.0
gbt_av,pass,trump_count,0.0
gbt_av,pass,trump_count_x_offsuit_ace,0.0
gbt_av,pass,trump_count_x_void_count,0.0
gbt_av,pass,trump_duplicate_pairs,0.0
gbt_av,pass,trump_king_count,0.0
gbt_av,pass,trump_lb_count,0.0
gbt_av,pass,trump_power_sum,0.0
gbt_av,pass,trump_queen_count,0.0
gbt_av,pass,trump_rb_count,0.0
gbt_av,pass,trump_ten_count,0.0
gbt_av,pass,void_count,0.0073
gbt_av,suit,auction_position,0.0008
gbt_av,suit,bid_n,0.5955
gbt_av,suit,bid_n_sq,0.2572
gbt_av,suit,bowers,0.0034
gbt_av,suit,current_high_bid,0.0004
gbt_av,suit,double_ten_jack_count,0.0002
gbt_av,suit,fourth_suit_len,0.0
gbt_av,suit,hand_value,0.0296
gbt_av,suit,high_card_count,0.0008
gbt_av,suit,highest_trump_rank,0.0021
gbt_av,suit,is_dealer,0.0002
gbt_av,suit,is_high,0.0
gbt_av,suit,is_loner,0.0
gbt_av,suit,is_low,0.0
gbt_av,suit,is_moon,0.0
gbt_av,suit,losing_tricks_count,0.0017
gbt_av,suit,low_card_count,0.0013
gbt_av,suit,max_suit_len,0.0006
gbt_av,suit,num_doubletons,0.0003
