model,contract,pred_bin,mean_pred,actual_mean,n_samples
constrained_ols_av,high,1,-16.7115,4.536,500
constrained_ols_av,high,2,-13.9868,4.824,500
constrained_ols_av,high,3,-11.8251,4.848,500
constrained_ols_av,high,4,-9.8366,5.008,500
constrained_ols_av,high,5,-7.9355,4.878,500
constrained_ols_av,high,6,-5.9771,5.016,500
constrained_ols_av,high,7,-3.8745,4.83,500
constrained_ols_av,high,8,-2.1489,4.668,500
constrained_ols_av,high,9,-0.5651,4.998,500
constrained_ols_av,high,10,1.6395,5.22,500
constrained_ols_av,low,1,-16.854,4.414,500
constrained_ols_av,low,2,-14.0268,4.97,500
constrained_ols_av,low,3,-11.8908,4.808,500
constrained_ols_av,low,4,-9.8902,4.924,500
constrained_ols_av,low,5,-7.9572,4.972,500
constrained_ols_av,low,6,-6.0176,4.876,500
constrained_ols_av,low,7,-4.0041,5.164,500
constrained_ols_av,low,8,-2.186,4.694,500
constrained_ols_av,low,9,-0.708,4.742,500
constrained_ols_av,low,10,1.4843,4.95,500
constrained_ols_av,pass,1,-1.2512,3.28,500
constrained_ols_av,pass,2,-0.9073,3.126,500
constrained_ols_av,pass,3,-0.9073,3.24,500
constrained_ols_av,pass,4,-0.6313,3.154,500
constrained_ols_av,pass,5,-0.4548,3.08,500
constrained_ols_av,pass,6,-0.4548,3.264,500
constrained_ols_av,pass,7,-0.4313,3.484,500
constrained_ols_av,pass,8,-0.0023,3.008,500
constrained_ols_av,pass,9,-0.0023,3.266,500
constrained_ols_av,pass,10,0.4637,3.252,500
constrained_ols_av,suit,1,-16.84,4.656,500
constrained_ols_av,suit,2,-13.8611,5.144,500
constrained_ols_av,suit,3,-11.4102,5.12,500
constrained_ols_av,suit,4,-9.3758,4.99,500
constrained_ols_av,suit,5,-7.3058,5.202,500
constrained_ols_av,suit,6,-5.2215,5.196,500
constrained_ols_av,suit,7,-3.202,5.1,500
constrained_ols_av,suit,8,-1.5825,4.922,500
constrained_ols_av,suit,9,-0.0106,5.114,500
constrained_ols_av,suit,10,2.0245,5.254,500
full_ols_av,high,1,-16.9317,4.354,500
full_ols_av,high,2,-14.0311,4.92,500
full_ols_av,high,3,-11.9051,4.852,500
full_ols_av,high,4,-9.8672,4.984,500
full_ols_av,high,5,-7.8785,4.862,500
full_ols_av,high,6,-5.8634,5.058,500
full_ols_av,high,7,-3.8809,4.786,500
full_ols_av,high,8,-2.1648,4.808,500
full_ols_av,high,9,-0.533,4.924,500
full_ols_av,high,10,1.7507,5.278,500
full_ols_av,low,1,-16.9321,4.33,500
full_ols_av,low,2,-13.9981,4.774,500
full_ols_av,low,3,-11.785,4.91,500
full_ols_av,low,4,-9.8136,4.932,500
full_ols_av,low,5,-7.909,5.048,500
full_ols_av,low,6,-5.9019,4.908,500
full_ols_av,low,7,-3.9299,5.084,500
full_ols_av,low,8,-2.2285,4.862,500
full_ols_av,low,9,-0.6554,4.616,500
full_ols_av,low,10,1.5952,5.05,500
full_ols_av,pass,1,-2.5444,3.086,500
full_ols_av,pass,2,-1.722,3.37,500
full_ols_av,pass,3,-1.2729,2.938,500
full_ols_av,pass,4,-0.9141,2.704,500
full_ols_av,pass,5,-0.6173,2.762,500
full_ols_av,pass,6,-0.3403,2.702,500
full_ols_av,pass,7,-0.0566,2.486,500
full_ols_av,pass,8,0.2817,2.712,500
full_ols_av,pass,9,0.7696,3.43,500
full_ols_av,pass,10,1.778,5.964,500
full_ols_av,suit,1,-17.0796,4.478,500
full_ols_av,suit,2,-13.9214,5.034,500
full_ols_av,suit,3,-11.5459,5.1,500
full_ols_av,suit,4,-9.4179,5.06,500
full_ols_av,suit,5,-7.3312,5.266,500
full_ols_av,suit,6,-5.1532,5.23,500
full_ols_av,suit,7,-3.1374,5.164,500
full_ols_av,suit,8,-1.562,4.936,500
full_ols_av,suit,9,-0.0811,5.066,500
full_ols_av,suit,10,2.2024,5.364,500
gbt_av,high,1,-15.596,4.29,500
gbt_av,high,2,-14.2165,4.774,500
gbt_av,high,3,-12.931,4.92,500
gbt_av,high,4,-11.3836,5.046,500
gbt_av,high,5,-8.9566,5.032,500
gbt_av,high,6,-5.6321,4.944,500
gbt_av,high,7,-2.6393,4.494,500
gbt_av,high,8,-1.1583,4.578,500
gbt_av,high,9,-0.1696,5.076,500
gbt_av,high,10,1.6187,5.672,500
gbt_av,low,1,-15.6275,4.206,500
gbt_av,low,2,-14.2238,4.666,500
gbt_av,low,3,-12.9332,4.906,500
gbt_av,low,4,-11.3067,5.068,500
gbt_av,low,5,-8.9687,5.042,500
gbt_av,low,6,-5.5509,4.988,500
gbt_av,low,7,-2.4035,4.71,500
gbt_av,low,8,-1.0714,4.674,500
gbt_av,low,9,-0.3419,4.866,500
gbt_av,low,10,1.0743,5.388,500
gbt_av,pass,1,-3.7238,2.97,500
gbt_av,pass,2,-2.0756,3.38,500
gbt_av,pass,3,-1.3343,3.102,500
gbt_av,pass,4,-0.8716,2.948,500
gbt_av,pass,5,-0.534,2.428,500
gbt_av,pass,6,-0.2341,2.608,500
gbt_av,pass,7,0.0317,2.486,500
gbt_av,pass,8,0.3567,2.678,500
gbt_av,pass,9,0.9395,3.52,500
gbt_av,pass,10,2.9128,6.034,500
gbt_av,suit,1,-15.483,4.252,500
gbt_av,suit,2,-14.119,5.032,500
gbt_av,suit,3,-12.8455,5.18,500
gbt_av,suit,4,-11.1424,5.128,500
gbt_av,suit,5,-8.5548,5.292,500
gbt_av,suit,6,-4.6104,5.246,500
gbt_av,suit,7,-1.7804,4.674,500
gbt_av,suit,8,-0.5805,4.996,500
gbt_av,suit,9,0.3361,5.104,500
gbt_av,suit,10,1.7912,5.794,500
selected_ols_av,high,1,-16.7009,4.54,500
selected_ols_av,high,2,-13.9828,4.848,500
selected_ols_av,high,3,-11.8081,4.806,500
selected_ols_av,high,4,-9.8451,4.986,500
selected_ols_av,high,5,-7.9297,4.884,500
selected_ols_av,high,6,-5.9809,5.046,500
selected_ols_av,high,7,-3.8654,4.884,500
selected_ols_av,high,8,-2.1427,4.706,500
selected_ols_av,high,9,-0.5913,4.914,500
selected_ols_av,high,10,1.6314,5.212,500
selected_ols_av,low,1,-16.8372,4.414,500
selected_ols_av,low,2,-14.0465,4.946,500
selected_ols_av,low,3,-11.8733,4.842,500
selected_ols_av,low,4,-9.9022,4.954,500
selected_ols_av,low,5,-7.949,4.908,500
selected_ols_av,low,6,-6.0202,4.864,500
selected_ols_av,low,7,-4.0172,5.248,500
selected_ols_av,low,8,-2.1776,4.602,500
selected_ols_av,low,9,-0.7287,4.782,500
selected_ols_av,low,10,1.4806,4.954,500
selected_ols_av,pass,1,-2.4832,3.236,500
selected_ols_av,pass,2,-1.6238,3.154,500
selected_ols_av,pass,3,-1.1035,2.354,500
selected_ols_av,pass,4,-0.7626,2.764,500
selected_ols_av,pass,5,-0.5814,2.2,500
selected_ols_av,pass,6,-0.3571,3.116,500
selected_ols_av,pass,7,-0.1077,2.056,500
selected_ols_av,pass,8,0.1586,3.09,500
selected_ols_av,pass,9,0.6583,4.07,500
selected_ols_av,pass,10,1.4868,6.114,500
selected_ols_av,suit,1,-16.8513,4.656,500
selected_ols_av,suit,2,-13.868,5.168,500
selected_ols_av,suit,3,-11.4059,5.104,500
selected_ols_av,suit,4,-9.3784,4.98,500
selected_ols_av,suit,5,-7.2974,5.206,500
selected_ols_av,suit,6,-5.2211,5.194,500
selected_ols_av,suit,7,-3.1977,5.112,500
selected_ols_av,suit,8,-1.5845,4.914,500
selected_ols_av,suit,9,-0.0027,5.104,500
selected_ols_av,suit,10,2.0237,5.26,500
selected_two_stage_av,high,1,-16.7009,4.54,500
selected_two_stage_av,high,2,-13.9828,4.848,500
selected_two_stage_av,high,3,-11.8081,4.806,500
selected_two_stage_av,high,4,-9.8451,4.986,500
selected_two_stage_av,high,5,-7.9297,4.884,500
selected_two_stage_av,high,6,-5.9809,5.046,500
selected_two_stage_av,high,7,-3.8654,4.884,500
selected_two_stage_av,high,8,-2.1427,4.706,500
selected_two_stage_av,high,9,-0.5913,4.914,500
selected_two_stage_av,high,10,1.6314,5.212,500
selected_two_stage_av,low,1,-16.8372,4.414,500
selected_two_stage_av,low,2,-14.0465,4.946,500
selected_two_stage_av,low,3,-11.8733,4.842,500
