model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,suit,0.8637,4.0563,3040,344
constrained_ols_av,high,0.8059,4.9241,760,86
constrained_ols_av,low,0.5693,6.7179,760,86
constrained_ols_av,pass,-0.1923,4.8548,80,8
full_ols_av,suit,0.8288,4.7638,3040,344
full_ols_av,high,0.8046,5.3916,760,86
full_ols_av,low,0.4763,8.2793,760,86
full_ols_av,pass,-1.0305,7.1442,80,8
gbt_av,suit,0.817,4.3506,3040,344
gbt_av,high,0.85,3.8208,760,86
gbt_av,low,0.4705,7.6578,760,86
gbt_av,pass,-0.8131,6.5193,80,8
selected_ols_av,suit,0.8553,4.2711,3040,344
selected_ols_av,high,0.8103,4.8724,760,86
selected_ols_av,low,0.5561,6.7826,760,86
selected_ols_av,pass,-1.1305,7.2516,80,8
selected_two_stage_av,suit,,,3040,344
selected_two_stage_av,high,0.8103,4.8724,760,86
selected_two_stage_av,low,0.5561,6.7826,760,86
selected_two_stage_av,pass,-1.1305,7.2516,80,8
