model,contract,rank,feature_name,importance
gbt_av,high,1,bid_n,0.4165
gbt_av,high,2,bid_n_sq,0.4009
gbt_av,high,3,offsuit_non_ace_count,0.0381
gbt_av,high,4,quick_tricks,0.0271
gbt_av,high,5,offsuit_aces,0.0184
gbt_av,high,6,offsuit_best_rank_sum,0.0119
gbt_av,high,7,hand_value,0.0099
gbt_av,high,8,max_suit_len,0.0091
gbt_av,high,9,offsuit_secondbest_rank_sum,0.0081
gbt_av,high,10,partner_level_high,0.0065
gbt_av,high,11,low_card_count,0.0045
gbt_av,high,12,losing_tricks_count,0.0042
gbt_av,high,13,offsuit_queen_count_total,0.004
gbt_av,high,14,high_card_count,0.0038
gbt_av,high,15,offsuit_tens_count,0.0037
gbt_av,high,16,offsuit_suits_with_ace,0.0035
gbt_av,high,17,offsuit_king_count_total,0.0034
gbt_av,high,18,partner_passed,0.0027
gbt_av,high,19,offsuit_suits_with_ace_and_king,0.0025
gbt_av,high,20,auction_position,0.0017
gbt_av,high,21,num_singletons,0.0015
gbt_av,high,22,num_doubletons,0.0015
gbt_av,high,23,current_high_bid,0.0015
gbt_av,high,24,offsuit_suits_with_double_ace,0.0014
gbt_av,high,25,opp_left_level_low,0.0014
gbt_av,high,26,seat_rel_2,0.0014
gbt_av,high,27,second_suit_len,0.0013
gbt_av,high,28,offsuit_length_3plus_count,0.0012
gbt_av,high,29,opp_right_passed,0.0011
gbt_av,high,30,opp_right_level_high,0.001
gbt_av,high,31,partner_level_low,0.0009
gbt_av,high,32,opp_right_level_low,0.0009
gbt_av,high,33,fourth_suit_len,0.0007
gbt_av,high,34,double_ten_jack_count,0.0007
gbt_av,high,35,third_suit_len,0.0006
gbt_av,high,36,opp_left_passed,0.0006
gbt_av,high,37,seat_rel_3,0.0006
gbt_av,high,38,void_count,0.0005
gbt_av,high,39,seat_rel_1,0.0004
gbt_av,high,40,is_dealer,0.0004
gbt_av,high,41,opp_left_level_high,0.0003
gbt_av,high,42,bowers,0.0
gbt_av,high,43,highest_trump_rank,0.0
gbt_av,high,44,is_high,0.0
gbt_av,high,45,is_loner,0.0
gbt_av,high,46,is_low,0.0
gbt_av,high,47,is_moon,0.0
gbt_av,high,48,opp_left_level_off_color,0.0
gbt_av,high,49,opp_left_level_same_color,0.0
gbt_av,high,50,opp_left_level_same_suit,0.0
gbt_av,high,51,opp_right_level_off_color,0.0
gbt_av,high,52,opp_right_level_same_color,0.0
gbt_av,high,53,opp_right_level_same_suit,0.0
gbt_av,high,54,partner_level_off_color,0.0
gbt_av,high,55,partner_level_same_color,0.0
gbt_av,high,56,partner_level_same_suit,0.0
gbt_av,high,57,second_highest_trump_rank,0.0
gbt_av,high,58,third_highest_trump_rank,0.0
gbt_av,high,59,trump_C,0.0
gbt_av,high,60,trump_D,0.0
gbt_av,high,61,trump_H,0.0
gbt_av,high,62,trump_S,0.0
gbt_av,high,63,trump_ace_count,0.0
gbt_av,high,64,trump_count,0.0
gbt_av,high,65,trump_count_x_offsuit_ace,0.0
gbt_av,high,66,trump_count_x_void_count,0.0
gbt_av,high,67,trump_duplicate_pairs,0.0
gbt_av,high,68,trump_king_count,0.0
gbt_av,high,69,trump_lb_count,0.0
gbt_av,high,70,trump_power_sum,0.0
gbt_av,high,71,trump_queen_count,0.0
gbt_av,high,72,trump_rb_count,0.0
gbt_av,high,73,trump_ten_count,0.0
gbt_av,low,1,bid_n,0.511
gbt_av,low,2,bid_n_sq,0.307
gbt_av,low,3,offsuit_tens_count,0.0482
gbt_av,low,4,quick_tricks,0.0293
gbt_av,low,5,partner_level_low,0.0132
gbt_av,low,6,offsuit_best_rank_sum,0.0118
gbt_av,low,7,max_suit_len,0.0105
gbt_av,low,8,hand_value,0.0098
gbt_av,low,9,offsuit_secondbest_rank_sum,0.007
gbt_av,low,10,losing_tricks_count,0.0054
gbt_av,low,11,low_card_count,0.0051
gbt_av,low,12,offsuit_queen_count_total,0.0044
