model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.0272,28248,0.4359
modeloespecifico,modeloespecifico,high,0.1027,837,0.4504
modeloespecifico,modeloespecifico,low,-0.1333,915,0.436
modeloespecifico,modeloespecifico,pooled,-0.0268,30000,0.4363
modeloespecifico,selected_two_stage_av,suit,0.1106,28750,0.4341
modeloespecifico,selected_two_stage_av,high,1.6808,567,0.6102
modeloespecifico,selected_two_stage_av,low,0.5344,683,0.5241
modeloespecifico,selected_two_stage_av,pooled,0.1499,30000,0.4395
selected_two_stage_av,modeloespecifico,suit,-0.1649,28768,0.4366
selected_two_stage_av,modeloespecifico,high,-1.602,588,0.2789
selected_two_stage_av,modeloespecifico,low,-1.3214,644,0.3261
selected_two_stage_av,modeloespecifico,pooled,-0.2179,30000,0.4311
modeloespecifico,gbt_av,suit,-0.3873,24612,0.379
modeloespecifico,gbt_av,high,-1.5128,1950,0.2385
modeloespecifico,gbt_av,low,-1.304,3438,0.2231
modeloespecifico,gbt_av,pooled,-0.5655,30000,0.352
gbt_av,modeloespecifico,suit,0.3671,24725,0.5277
gbt_av,modeloespecifico,high,1.5202,1955,0.6721
gbt_av,modeloespecifico,low,1.1762,3320,0.7057
gbt_av,modeloespecifico,pooled,0.5318,30000,0.5568
modeloespecifico,full_ols_av,suit,1.094,27025,0.6092
modeloespecifico,full_ols_av,high,1.0384,1119,0.5541
modeloespecifico,full_ols_av,low,0.7947,1856,0.5291
modeloespecifico,full_ols_av,pooled,1.0734,30000,0.6022
full_ols_av,modeloespecifico,suit,-1.0952,26986,0.2459
full_ols_av,modeloespecifico,high,-1.016,1124,0.3203
full_ols_av,modeloespecifico,low,-1.1915,1890,0.3079
full_ols_av,modeloespecifico,pooled,-1.0983,30000,0.2526
modeloespecifico,anchor_hybrid_r0_full,suit,0.5268,25766,0.4955
modeloespecifico,anchor_hybrid_r0_full,high,-0.3148,1760,0.3511
modeloespecifico,anchor_hybrid_r0_full,low,-0.4139,2474,0.3383
modeloespecifico,anchor_hybrid_r0_full,pooled,0.3998,30000,0.4741
anchor_hybrid_r0_full,modeloespecifico,suit,-0.548,25775,0.3875
anchor_hybrid_r0_full,modeloespecifico,high,0.182,1709,0.5682
anchor_hybrid_r0_full,modeloespecifico,low,0.1228,2516,0.5751
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.4502,30000,0.4135
selected_two_stage_av,selected_two_stage_av,suit,0.0013,29085,0.4234
selected_two_stage_av,selected_two_stage_av,high,0.2837,363,0.4573
selected_two_stage_av,selected_two_stage_av,low,0.1322,552,0.4656
selected_two_stage_av,selected_two_stage_av,pooled,0.0072,30000,0.4245
selected_two_stage_av,gbt_av,suit,-0.6742,24760,0.3417
selected_two_stage_av,gbt_av,high,-2.0744,1856,0.1821
selected_two_stage_av,gbt_av,low,-1.6936,3384,0.1909
selected_two_stage_av,gbt_av,pooled,-0.8758,30000,0.3149
gbt_av,selected_two_stage_av,suit,0.6577,24844,0.5401
gbt_av,selected_two_stage_av,high,2.1391,1833,0.7316
gbt_av,selected_two_stage_av,low,1.4391,3323,0.7162
gbt_av,selected_two_stage_av,pooled,0.8347,30000,0.5713
selected_two_stage_av,full_ols_av,suit,0.9021,27200,0.5627
selected_two_stage_av,full_ols_av,high,-0.4073,1046,0.3843
selected_two_stage_av,full_ols_av,low,-0.2491,1754,0.4014
selected_two_stage_av,full_ols_av,pooled,0.7891,30000,0.5471
full_ols_av,selected_two_stage_av,suit,-0.919,27255,0.2691
full_ols_av,selected_two_stage_av,high,0.4038,1040,0.4664
full_ols_av,selected_two_stage_av,low,-0.1871,1705,0.4182
full_ols_av,selected_two_stage_av,pooled,-0.8316,30000,0.2844
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.2424,24294,0.4372
selected_two_stage_av,anchor_hybrid_r0_full,high,0.2731,2472,0.4049
selected_two_stage_av,anchor_hybrid_r0_full,low,-0.3182,3234,0.3432
selected_two_stage_av,anchor_hybrid_r0_full,pooled,0.1845,30000,0.4244
anchor_hybrid_r0_full,selected_two_stage_av,suit,-0.253,24327,0.4385
anchor_hybrid_r0_full,selected_two_stage_av,high,-0.32,2400,0.4908
anchor_hybrid_r0_full,selected_two_stage_av,low,0.0037,3273,0.5435
