model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,50,1.0,0.9,0.78,comparator
selected_two_stage_av,regular,48,0.96,0.9583,1.24,comparator
gbt_av,regular,49,0.98,0.7551,-1.22,comparator
constrained_ols_av,regular,50,1.0,1.0,1.6,comparator
selected_ols_av,regular,50,1.0,1.0,1.72,comparator
full_ols_av,regular,49,0.98,1.0,1.48,comparator
stricthellraiser,regular,50,1.0,0.92,0.14,comparator
rankthetank,regular,50,1.0,0.06,-11.3,comparator
modeloespecifico,regular,50,,0.36,-1.12,h2h_self_play
selected_two_stage_av,regular,50,,0.42,-0.58,h2h_self_play
gbt_av,regular,50,,0.44,-0.16,h2h_self_play
constrained_ols_av,regular,50,,0.44,-0.4,h2h_self_play
selected_ols_av,regular,50,,0.4,-0.52,h2h_self_play
full_ols_av,regular,50,,0.42,-0.78,h2h_self_play
stricthellraiser,regular,50,,0.42,-2.06,h2h_self_play
rankthetank,regular,50,,0.62,2.76,h2h_self_play
anchor_hybrid_r0_full,regular,45,,0.3333,-1.4,h2h_self_play
