model,contract,net_eppd,bid_rate,make_rate,source
modeloespecifico,pooled,1.6608,1.0,0.9496,comparator
selected_two_stage_av,pooled,1.8756,1.0,0.998,comparator
gbt_av,pooled,2.2548,0.9256,0.9922,comparator
constrained_ols_av,pooled,2.1976,1.0,1.0,comparator
selected_ols_av,pooled,2.1928,1.0,1.0,comparator
full_ols_av,pooled,2.2432,1.0,1.0,comparator
stricthellraiser,pooled,0.1096,1.0,0.9472,comparator
rankthetank,pooled,-9.6972,1.0,0.1476,comparator
