model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,2500,1.0,0.9496,1.6608,comparator
selected_two_stage_av,regular,2500,1.0,0.998,1.8756,comparator
gbt_av,regular,2314,0.9256,0.9922,2.2548,comparator
constrained_ols_av,regular,2500,1.0,1.0,2.1976,comparator
selected_ols_av,regular,2500,1.0,1.0,2.1928,comparator
full_ols_av,regular,2500,1.0,1.0,2.2432,comparator
stricthellraiser,regular,2500,1.0,0.9472,0.1096,comparator
rankthetank,regular,2500,1.0,0.1476,-9.6972,comparator
modeloespecifico,regular,2500,0.488,0.9287,4.6906,h2h_self_play
selected_two_stage_av,regular,2500,0.5128,0.915,4.6178,h2h_self_play
gbt_av,regular,2500,0.4884,0.864,4.2716,h2h_self_play
constrained_ols_av,regular,2500,0.4932,0.9862,4.9528,h2h_self_play
selected_ols_av,regular,2500,0.4964,0.9823,4.9488,h2h_self_play
full_ols_av,regular,2500,0.5008,0.9872,4.969,h2h_self_play
stricthellraiser,regular,2500,0.5072,0.4306,2.2032,h2h_self_play
rankthetank,regular,2500,0.4756,0.1102,-1.6218,h2h_self_play
anchor_hybrid_r0_full,regular,2500,0.4024,0.8539,3.5846,h2h_self_play
