model,contract,residual_bin,count
constrained_ols_av,high,-27.1903,3
constrained_ols_av,high,-25.5998,10
constrained_ols_av,high,-24.0094,50
constrained_ols_av,high,-22.4189,162
constrained_ols_av,high,-20.8285,305
constrained_ols_av,high,-19.238,348
constrained_ols_av,high,-17.6476,352
constrained_ols_av,high,-16.0571,396
constrained_ols_av,high,-14.4667,404
constrained_ols_av,high,-12.8762,388
constrained_ols_av,high,-11.2858,428
constrained_ols_av,high,-9.6953,410
constrained_ols_av,high,-8.1049,404
constrained_ols_av,high,-6.5144,442
constrained_ols_av,high,-4.9239,425
constrained_ols_av,high,-3.3335,285
constrained_ols_av,high,-1.743,125
constrained_ols_av,high,-0.1526,48
constrained_ols_av,high,1.4379,13
constrained_ols_av,high,3.0283,2
constrained_ols_av,low,-26.8762,2
constrained_ols_av,low,-25.204,30
constrained_ols_av,low,-23.5318,89
constrained_ols_av,low,-21.8595,255
constrained_ols_av,low,-20.1873,315
constrained_ols_av,low,-18.5151,342
constrained_ols_av,low,-16.8429,423
constrained_ols_av,low,-15.1707,428
constrained_ols_av,low,-13.4985,410
constrained_ols_av,low,-11.8263,435
constrained_ols_av,low,-10.1541,443
constrained_ols_av,low,-8.4819,439
constrained_ols_av,low,-6.8097,440
constrained_ols_av,low,-5.1375,419
constrained_ols_av,low,-3.4652,314
constrained_ols_av,low,-1.793,137
constrained_ols_av,low,-0.1208,56
constrained_ols_av,low,1.5514,15
constrained_ols_av,low,3.2236,6
constrained_ols_av,low,4.8958,2
constrained_ols_av,pass,-11.0061,7
constrained_ols_av,pass,-10.3715,10
constrained_ols_av,pass,-9.7369,70
constrained_ols_av,pass,-9.1023,98
constrained_ols_av,pass,-8.4677,109
constrained_ols_av,pass,-7.8331,167
constrained_ols_av,pass,-7.1985,229
constrained_ols_av,pass,-6.5639,336
constrained_ols_av,pass,-5.9293,210
constrained_ols_av,pass,-5.2947,361
constrained_ols_av,pass,-4.6602,474
constrained_ols_av,pass,-4.0256,404
constrained_ols_av,pass,-3.391,300
constrained_ols_av,pass,-2.7564,317
constrained_ols_av,pass,-2.1218,383
constrained_ols_av,pass,-1.4872,169
constrained_ols_av,pass,-0.8526,359
constrained_ols_av,pass,-0.218,852
constrained_ols_av,pass,0.4166,117
constrained_ols_av,pass,1.0512,28
constrained_ols_av,suit,-26.3742,3
constrained_ols_av,suit,-24.9063,33
constrained_ols_av,suit,-23.4383,81
constrained_ols_av,suit,-21.9703,216
constrained_ols_av,suit,-20.5024,262
constrained_ols_av,suit,-19.0344,293
constrained_ols_av,suit,-17.5665,323
constrained_ols_av,suit,-16.0985,353
constrained_ols_av,suit,-14.6305,301
constrained_ols_av,suit,-13.1626,396
constrained_ols_av,suit,-11.6946,386
constrained_ols_av,suit,-10.2267,363
constrained_ols_av,suit,-8.7587,399
constrained_ols_av,suit,-7.2907,349
constrained_ols_av,suit,-5.8228,436
constrained_ols_av,suit,-4.3548,363
constrained_ols_av,suit,-2.8869,272
constrained_ols_av,suit,-1.4189,115
constrained_ols_av,suit,0.0491,42
constrained_ols_av,suit,1.517,14
full_ols_av,high,-27.4702,1
full_ols_av,high,-25.8778,9
full_ols_av,high,-24.2854,51
full_ols_av,high,-22.693,142
full_ols_av,high,-21.1006,280
full_ols_av,high,-19.5082,352
full_ols_av,high,-17.9158,344
full_ols_av,high,-16.3234,369
full_ols_av,high,-14.731,418
full_ols_av,high,-13.1386,407
full_ols_av,high,-11.5462,405
full_ols_av,high,-9.9538,411
full_ols_av,high,-8.3614,417
full_ols_av,high,-6.769,431
full_ols_av,high,-5.1766,429
full_ols_av,high,-3.5842,312
full_ols_av,high,-1.9917,148
full_ols_av,high,-0.3993,58
full_ols_av,high,1.1931,13
full_ols_av,high,2.7855,3
full_ols_av,low,-25.5981,14
full_ols_av,low,-24.0252,61
full_ols_av,low,-22.4522,157
full_ols_av,low,-20.8793,293
full_ols_av,low,-19.3064,305
full_ols_av,low,-17.7334,371
full_ols_av,low,-16.1605,386
full_ols_av,low,-14.5875,422
full_ols_av,low,-13.0146,403
full_ols_av,low,-11.4417,424
full_ols_av,low,-9.8687,391
full_ols_av,low,-8.2958,422
full_ols_av,low,-6.7229,418
full_ols_av,low,-5.1499,373
full_ols_av,low,-3.577,317
full_ols_av,low,-2.0041,155
full_ols_av,low,-0.4311,60
full_ols_av,low,1.1418,18
full_ols_av,low,2.7147,6
full_ols_av,low,4.2877,4
full_ols_av,pass,-11.9928,1
full_ols_av,pass,-11.2712,2
full_ols_av,pass,-10.5495,8
full_ols_av,pass,-9.8278,28
full_ols_av,pass,-9.1061,60
full_ols_av,pass,-8.3845,108
full_ols_av,pass,-7.6628,193
full_ols_av,pass,-6.9411,266
full_ols_av,pass,-6.2194,433
full_ols_av,pass,-5.4978,543
full_ols_av,pass,-4.7761,503
full_ols_av,pass,-4.0544,527
full_ols_av,pass,-3.3327,425
full_ols_av,pass,-2.6111,288
full_ols_av,pass,-1.8894,187
full_ols_av,pass,-1.1677,326
full_ols_av,pass,-0.446,509
full_ols_av,pass,0.2756,438
full_ols_av,pass,0.9973,138
full_ols_av,pass,1.719,17
full_ols_av,suit,-25.2094,17
full_ols_av,suit,-23.7463,81
full_ols_av,suit,-22.2832,183
full_ols_av,suit,-20.8201,252
full_ols_av,suit,-19.357,290
full_ols_av,suit,-17.8939,335
full_ols_av,suit,-16.4308,323
full_ols_av,suit,-14.9676,333
full_ols_av,suit,-13.5045,381
full_ols_av,suit,-12.0414,380
full_ols_av,suit,-10.5783,363
full_ols_av,suit,-9.1152,362
full_ols_av,suit,-7.6521,356
full_ols_av,suit,-6.189,433
full_ols_av,suit,-4.7259,407
full_ols_av,suit,-3.2628,268
full_ols_av,suit,-1.7997,158
full_ols_av,suit,-0.3366,55
full_ols_av,suit,1.1265,19
full_ols_av,suit,2.5896,4
gbt_av,high,-24.9016,3
gbt_av,high,-23.3575,27
gbt_av,high,-21.8134,166
gbt_av,high,-20.2693,431
gbt_av,high,-18.7251,521
gbt_av,high,-17.181,495
gbt_av,high,-15.6369,415
gbt_av,high,-14.0928,301
gbt_av,high,-12.5487,235
gbt_av,high,-11.0045,224
gbt_av,high,-9.4604,249
gbt_av,high,-7.9163,373
gbt_av,high,-6.3722,491
gbt_av,high,-4.828,562
gbt_av,high,-3.2839,329
gbt_av,high,-1.7398,143
gbt_av,high,-0.1957,29
gbt_av,high,1.3484,3
gbt_av,high,2.8926,2
gbt_av,high,4.4367,1
gbt_av,low,-23.5099,33
gbt_av,low,-22.0339,118
gbt_av,low,-20.5578,330
gbt_av,low,-19.0818,512
gbt_av,low,-17.6058,501
gbt_av,low,-16.1298,418
gbt_av,low,-14.6537,317
gbt_av,low,-13.1777,255
gbt_av,low,-11.7017,217
gbt_av,low,-10.2256,228
gbt_av,low,-8.7496,268
gbt_av,low,-7.2736,478
gbt_av,low,-5.7976,500
gbt_av,low,-4.3215,485
gbt_av,low,-2.8455,237
gbt_av,low,-1.3695,83
gbt_av,low,0.1066,18
gbt_av,low,1.5826,1
gbt_av,low,3.0586,0
gbt_av,low,4.5346,1
gbt_av,pass,-14.7046,3
gbt_av,pass,-13.5911,3
gbt_av,pass,-12.4776,5
gbt_av,pass,-11.3641,5
gbt_av,pass,-10.2507,19
gbt_av,pass,-9.1372,75
gbt_av,pass,-8.0237,237
gbt_av,pass,-6.9102,430
gbt_av,pass,-5.7968,803
gbt_av,pass,-4.6833,817
gbt_av,pass,-3.5698,679
gbt_av,pass,-2.4563,378
gbt_av,pass,-1.3429,388
gbt_av,pass,-0.2294,802
gbt_av,pass,0.8841,323
gbt_av,pass,1.9976,21
gbt_av,pass,3.111,9
gbt_av,pass,4.2245,1
gbt_av,pass,5.338,1
gbt_av,pass,6.4515,1
gbt_av,suit,-23.7472,13
gbt_av,suit,-22.4463,69
gbt_av,suit,-21.1453,220
gbt_av,suit,-19.8443,407
gbt_av,suit,-18.5434,494
gbt_av,suit,-17.2424,414
gbt_av,suit,-15.9414,312
gbt_av,suit,-14.6405,269
gbt_av,suit,-13.3395,210
gbt_av,suit,-12.0385,179
gbt_av,suit,-10.7376,153
gbt_av,suit,-9.4366,209
gbt_av,suit,-8.1356,279
gbt_av,suit,-6.8347,390
gbt_av,suit,-5.5337,477
gbt_av,suit,-4.2327,457
gbt_av,suit,-2.9318,294
gbt_av,suit,-1.6308,110
gbt_av,suit,-0.3298,37
gbt_av,suit,0.9711,7
selected_ols_av,high,-27.1096,3
selected_ols_av,high,-25.5171,11
selected_ols_av,high,-23.9246,79
selected_ols_av,high,-22.3321,175
selected_ols_av,high,-20.7397,261
selected_ols_av,high,-19.1472,357
selected_ols_av,high,-17.5547,366
selected_ols_av,high,-15.9622,375
selected_ols_av,high,-14.3698,439
selected_ols_av,high,-12.7773,400
selected_ols_av,high,-11.1848,409
selected_ols_av,high,-9.5923,416
selected_ols_av,high,-7.9998,394
selected_ols_av,high,-6.4074,423
selected_ols_av,high,-4.8149,452
selected_ols_av,high,-3.2224,275
selected_ols_av,high,-1.6299,111
selected_ols_av,high,-0.0375,38
selected_ols_av,high,1.555,14
selected_ols_av,high,3.1475,2
selected_ols_av,low,-26.825,2
selected_ols_av,low,-25.1419,30
selected_ols_av,low,-23.4588,90
selected_ols_av,low,-21.7758,258
selected_ols_av,low,-20.0927,312
selected_ols_av,low,-18.4096,351
selected_ols_av,low,-16.7266,440
selected_ols_av,low,-15.0435,436
selected_ols_av,low,-13.3605,392
selected_ols_av,low,-11.6774,481
selected_ols_av,low,-9.9943,401
selected_ols_av,low,-8.3113,486
selected_ols_av,low,-6.6282,410
selected_ols_av,low,-4.9451,440
selected_ols_av,low,-3.2621,283
selected_ols_av,low,-1.579,133
selected_ols_av,low,0.104,32
selected_ols_av,low,1.7871,15
selected_ols_av,low,3.4702,6
selected_ols_av,low,5.1532,2
selected_ols_av,pass,-12.0882,1
selected_ols_av,pass,-11.3745,1
selected_ols_av,pass,-10.6609,8
