seat,contract,mean_tricks,n_hands
0,high,4.6798,9637
0,low,4.7367,9637
0,none,3.143,1000
0,suit,4.9467,38548
1,high,4.7872,9591
1,low,4.7122,9591
1,none,3.248,1000
1,suit,4.9817,38364
2,high,4.6729,9638
2,low,4.7069,9638
2,none,3.189,1000
2,suit,4.9203,38552
3,high,4.7663,9584
3,low,4.6714,9584
3,none,3.29,1000
3,suit,4.953,38336
