model,contract,pred_bin,mean_pred,actual_mean,n_samples
constrained_ols_av,high,1,-16.6876,4.536,500
constrained_ols_av,high,2,-13.9574,4.812,500
constrained_ols_av,high,3,-11.7884,4.85,500
constrained_ols_av,high,4,-9.8013,5.038,500
constrained_ols_av,high,5,-7.892,4.852,500
constrained_ols_av,high,6,-5.9384,5.02,500
constrained_ols_av,high,7,-3.8336,4.884,500
constrained_ols_av,high,8,-2.1195,4.704,500
constrained_ols_av,high,9,-0.556,4.916,500
constrained_ols_av,high,10,1.6346,5.214,500
constrained_ols_av,low,1,-16.845,4.41,500
constrained_ols_av,low,2,-13.9959,4.968,500
constrained_ols_av,low,3,-11.8284,4.816,500
constrained_ols_av,low,4,-9.8341,4.946,500
constrained_ols_av,low,5,-7.8836,4.946,500
constrained_ols_av,low,6,-5.9537,4.852,500
constrained_ols_av,low,7,-3.946,5.196,500
constrained_ols_av,low,8,-2.1803,4.7,500
constrained_ols_av,low,9,-0.717,4.766,500
constrained_ols_av,low,10,1.4829,4.914,500
constrained_ols_av,pass,1,-1.2065,3.28,500
constrained_ols_av,pass,2,-0.8681,3.126,500
constrained_ols_av,pass,3,-0.8681,3.24,500
constrained_ols_av,pass,4,-0.5964,3.154,500
constrained_ols_av,pass,5,-0.4227,3.08,500
constrained_ols_av,pass,6,-0.4227,3.264,500
constrained_ols_av,pass,7,-0.3996,3.484,500
constrained_ols_av,pass,8,0.0226,3.008,500
constrained_ols_av,pass,9,0.0226,3.266,500
constrained_ols_av,pass,10,0.4812,3.252,500
constrained_ols_av,suit,1,-16.7926,4.654,500
constrained_ols_av,suit,2,-13.8591,5.172,500
constrained_ols_av,suit,3,-11.4104,5.1,500
constrained_ols_av,suit,4,-9.3798,5.0,500
constrained_ols_av,suit,5,-7.3064,5.19,500
constrained_ols_av,suit,6,-5.2389,5.286,500
constrained_ols_av,suit,7,-3.2042,5.056,500
constrained_ols_av,suit,8,-1.5685,4.888,500
constrained_ols_av,suit,9,-0.0254,5.1,500
constrained_ols_av,suit,10,1.9238,5.252,500
full_ols_av,high,1,-16.8973,4.356,500
full_ols_av,high,2,-13.9977,4.914,500
full_ols_av,high,3,-11.8665,4.864,500
full_ols_av,high,4,-9.8088,4.972,500
full_ols_av,high,5,-7.8565,4.902,500
full_ols_av,high,6,-5.841,5.02,500
full_ols_av,high,7,-3.8704,4.8,500
full_ols_av,high,8,-2.1493,4.796,500
full_ols_av,high,9,-0.5312,4.91,500
full_ols_av,high,10,1.77,5.292,500
full_ols_av,low,1,-16.8711,4.36,500
full_ols_av,low,2,-13.9825,4.798,500
full_ols_av,low,3,-11.7543,4.916,500
full_ols_av,low,4,-9.7864,4.898,500
full_ols_av,low,5,-7.8697,5.05,500
full_ols_av,low,6,-5.8715,4.938,500
full_ols_av,low,7,-3.9037,5.096,500
full_ols_av,low,8,-2.2417,4.78,500
full_ols_av,low,9,-0.6764,4.664,500
full_ols_av,low,10,1.5815,5.014,500
full_ols_av,pass,1,-2.4243,2.982,500
full_ols_av,pass,2,-1.6682,3.346,500
full_ols_av,pass,3,-1.2511,2.964,500
full_ols_av,pass,4,-0.912,2.67,500
full_ols_av,pass,5,-0.6153,2.644,500
full_ols_av,pass,6,-0.3404,2.784,500
full_ols_av,pass,7,-0.0568,2.562,500
full_ols_av,pass,8,0.2816,2.498,500
full_ols_av,pass,9,0.8082,3.578,500
full_ols_av,pass,10,1.8445,6.126,500
full_ols_av,suit,1,-16.9426,4.506,500
full_ols_av,suit,2,-13.8992,5.106,500
full_ols_av,suit,3,-11.5188,5.086,500
full_ols_av,suit,4,-9.4072,5.034,500
full_ols_av,suit,5,-7.3424,5.232,500
full_ols_av,suit,6,-5.1934,5.26,500
full_ols_av,suit,7,-3.1586,5.176,500
full_ols_av,suit,8,-1.5524,4.898,500
full_ols_av,suit,9,-0.1089,5.044,500
full_ols_av,suit,10,2.08,5.356,500
gbt_av,high,1,-15.6479,4.194,500
gbt_av,high,2,-14.2411,4.76,500
gbt_av,high,3,-12.9976,4.85,500
gbt_av,high,4,-11.3524,5.06,500
gbt_av,high,5,-8.9295,5.098,500
gbt_av,high,6,-5.6702,5.022,500
gbt_av,high,7,-2.6858,4.342,500
gbt_av,high,8,-1.2006,4.606,500
gbt_av,high,9,-0.133,5.028,500
gbt_av,high,10,1.8166,5.866,500
gbt_av,low,1,-15.68,4.162,500
gbt_av,low,2,-14.2278,4.69,500
gbt_av,low,3,-12.9162,4.898,500
gbt_av,low,4,-11.3094,4.88,500
gbt_av,low,5,-8.9188,5.152,500
gbt_av,low,6,-5.5425,5.07,500
gbt_av,low,7,-2.463,4.472,500
gbt_av,low,8,-1.1265,4.64,500
gbt_av,low,9,-0.3397,4.884,500
gbt_av,low,10,1.0371,5.666,500
gbt_av,pass,1,-3.673,2.64,500
gbt_av,pass,2,-1.978,3.076,500
