check_name,scope,value,threshold,status,detail
h2h_cells_populated,h2h,81.0,81.0,PASS,81/81 cells have metrics
h2h_min_deals,h2h,7500.0,10.0,PASS,Minimum deals across cells: 7500
comparator_bidders_present,comparator,8.0,2.0,PASS,8 bidders in comparator
r2_positive_constrained_ols_av_high,training,0.5029,0.0,PASS,constrained_ols_av high R²=0.5029
r2_positive_constrained_ols_av_low,training,0.5088,0.0,PASS,constrained_ols_av low R²=0.5088
r2_positive_constrained_ols_av_pass,training,0.0066,0.0,PASS,constrained_ols_av pass R²=0.0066
r2_positive_constrained_ols_av_suit,training,0.5524,0.0,PASS,constrained_ols_av suit R²=0.5524
r2_positive_full_ols_av_high,training,0.5175,0.0,PASS,full_ols_av high R²=0.5175
r2_positive_full_ols_av_low,training,0.5233,0.0,PASS,full_ols_av low R²=0.5233
r2_positive_full_ols_av_pass,training,0.0758,0.0,PASS,full_ols_av pass R²=0.0758
r2_positive_full_ols_av_suit,training,0.5704,0.0,PASS,full_ols_av suit R²=0.5704
r2_positive_gbt_av_high,training,0.5396,0.0,PASS,gbt_av high R²=0.5396
r2_positive_gbt_av_low,training,0.5553,0.0,PASS,gbt_av low R²=0.5553
r2_positive_gbt_av_pass,training,0.0845,0.0,PASS,gbt_av pass R²=0.0845
r2_positive_gbt_av_suit,training,0.6044,0.0,PASS,gbt_av suit R²=0.6044
r2_positive_selected_ols_av_high,training,0.5025,0.0,PASS,selected_ols_av high R²=0.5025
r2_positive_selected_ols_av_low,training,0.5091,0.0,PASS,selected_ols_av low R²=0.5091
r2_positive_selected_ols_av_pass,training,0.0557,0.0,PASS,selected_ols_av pass R²=0.0557
r2_positive_selected_ols_av_suit,training,0.5522,0.0,PASS,selected_ols_av suit R²=0.5522
r2_positive_selected_two_stage_av_high,training,0.5025,0.0,PASS,selected_two_stage_av high R²=0.5025
r2_positive_selected_two_stage_av_low,training,0.5091,0.0,PASS,selected_two_stage_av low R²=0.5091
r2_positive_selected_two_stage_av_pass,training,0.0557,0.0,PASS,selected_two_stage_av pass R²=0.0557
r2_positive_selected_two_stage_av_suit,training,0.0,0.0,WARN,selected_two_stage_av suit R²=0.0000
