artifact_name,path,schema_version,model_class,git_sha
constrained_ols_av,data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,a6f403474cb96feab8c01fae7c58e56f3e0d87a5
full_ols_av,data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,a6f403474cb96feab8c01fae7c58e56f3e0d87a5
gbt_av,data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_gbt_v1,gbt,a6f403474cb96feab8c01fae7c58e56f3e0d87a5
selected_ols_av,data/artifacts/arc_d_v2/r2/training_artifact_av.json,action_value_olsa_v1,ols,a6f403474cb96feab8c01fae7c58e56f3e0d87a5
selected_two_stage_av,data/artifacts/arc_d_v2/r2/training_artifact_av.json,two_stage_action_value_v1,two-stage,a6f403474cb96feab8c01fae7c58e56f3e0d87a5
roster,data/artifacts/arc_d_v2/r2/roster.json,roster_v1,,
