model,contract,net_eppd,bid_rate,pass_rate,make_rate,source
modeloespecifico,suit,1.5742,1.0,0.0,0.9472,comparator
selected_two_stage_av,suit,2.2141,1.0,0.0,0.9913,comparator
gbt_av,suit,2.2113,1.0,0.0,0.9936,comparator
constrained_ols_av,suit,2.2837,1.0,0.0,1.0,comparator
selected_ols_av,suit,2.2937,1.0,0.0,1.0,comparator
full_ols_av,suit,2.4495,1.0,0.0,1.0,comparator
stricthellraiser,suit,0.1096,1.0,0.0,0.9472,comparator
rankthetank,suit,-9.7004,1.0,0.0,0.1474,comparator
modeloespecifico,high,2.5814,1.0,0.0,0.9767,comparator
selected_two_stage_av,high,1.8206,1.0,0.0,1.0,comparator
gbt_av,high,3.0,1.0,0.0,0.996,comparator
constrained_ols_av,high,2.2177,1.0,0.0,1.0,comparator
selected_ols_av,high,2.0442,1.0,0.0,1.0,comparator
full_ols_av,high,1.853,1.0,0.0,1.0,comparator
modeloespecifico,low,2.1224,1.0,0.0,0.962,comparator
selected_two_stage_av,low,1.5487,1.0,0.0,1.0,comparator
gbt_av,low,2.2069,1.0,0.0,0.9803,comparator
constrained_ols_av,low,1.9339,1.0,0.0,1.0,comparator
selected_ols_av,low,1.9646,1.0,0.0,1.0,comparator
full_ols_av,low,1.8322,1.0,0.0,1.0,comparator
rankthetank,low,-7.0,1.0,0.0,0.3333,comparator
modeloespecifico,pooled,1.6608,1.0,0.0,0.9496,comparator
selected_two_stage_av,pooled,1.92,1.0,0.0,0.996,comparator
gbt_av,pooled,2.1836,0.952,0.048,0.9916,comparator
constrained_ols_av,pooled,2.204,1.0,0.0,1.0,comparator
selected_ols_av,pooled,2.1952,1.0,0.0,1.0,comparator
full_ols_av,pooled,2.2336,1.0,0.0,1.0,comparator
stricthellraiser,pooled,0.1096,1.0,0.0,0.9472,comparator
rankthetank,pooled,-9.6972,1.0,0.0,0.1476,comparator
