model,contract,feature_name,importance
gbt_av,suit,bowers,0.0051
gbt_av,suit,trump_count,0.0027
gbt_av,suit,offsuit_aces,0.0018
gbt_av,suit,offsuit_non_ace_count,0.0163
gbt_av,suit,hand_value,0.0566
gbt_av,suit,trump_rb_count,0.0026
gbt_av,suit,trump_lb_count,0.005
gbt_av,suit,trump_ace_count,0.0044
gbt_av,suit,trump_king_count,0.0037
gbt_av,suit,trump_queen_count,0.0033
gbt_av,suit,trump_ten_count,0.0059
gbt_av,suit,highest_trump_rank,0.0068
gbt_av,suit,second_highest_trump_rank,0.007
gbt_av,suit,third_highest_trump_rank,0.0119
gbt_av,suit,trump_power_sum,0.0138
gbt_av,suit,trump_duplicate_pairs,0.0039
gbt_av,suit,offsuit_king_count_total,0.0096
gbt_av,suit,offsuit_queen_count_total,0.011
gbt_av,suit,offsuit_suits_with_ace,0.0037
gbt_av,suit,offsuit_suits_with_double_ace,0.0026
gbt_av,suit,offsuit_suits_with_ace_and_king,0.0022
gbt_av,suit,void_count,0.0006
gbt_av,suit,max_suit_len,0.0045
gbt_av,suit,second_suit_len,0.0027
gbt_av,suit,third_suit_len,0.0024
gbt_av,suit,fourth_suit_len,0.0
gbt_av,suit,num_singletons,0.005
gbt_av,suit,num_doubletons,0.0058
gbt_av,suit,offsuit_tens_count,0.0162
gbt_av,suit,offsuit_length_3plus_count,0.0025
gbt_av,suit,offsuit_best_rank_sum,0.0277
gbt_av,suit,offsuit_secondbest_rank_sum,0.0207
gbt_av,suit,double_ten_jack_count,0.0004
gbt_av,suit,high_card_count,0.0189
gbt_av,suit,low_card_count,0.0099
gbt_av,suit,trump_count_x_void_count,0.0213
gbt_av,suit,trump_count_x_offsuit_ace,0.018
gbt_av,suit,losing_tricks_count,0.0131
gbt_av,suit,quick_tricks,0.0078
gbt_av,suit,bid_n,0.2347
gbt_av,suit,bid_n_sq,0.408
gbt_av,suit,is_moon,0.0
gbt_av,suit,is_loner,0.0
gbt_av,high,bowers,0.0
gbt_av,high,trump_count,0.0
gbt_av,high,offsuit_aces,0.0017
gbt_av,high,offsuit_non_ace_count,0.0058
gbt_av,high,hand_value,0.1015
gbt_av,high,trump_rb_count,0.0
gbt_av,high,trump_lb_count,0.0
gbt_av,high,trump_ace_count,0.0
gbt_av,high,trump_king_count,0.0
gbt_av,high,trump_queen_count,0.0
gbt_av,high,trump_ten_count,0.0
gbt_av,high,highest_trump_rank,0.0
gbt_av,high,second_highest_trump_rank,0.0
gbt_av,high,third_highest_trump_rank,0.0
gbt_av,high,trump_power_sum,0.0
gbt_av,high,trump_duplicate_pairs,0.0
gbt_av,high,offsuit_king_count_total,0.0133
gbt_av,high,offsuit_queen_count_total,0.0133
gbt_av,high,offsuit_suits_with_ace,0.0052
gbt_av,high,offsuit_suits_with_double_ace,0.0182
gbt_av,high,offsuit_suits_with_ace_and_king,0.0098
gbt_av,high,void_count,0.0025
gbt_av,high,max_suit_len,0.0317
gbt_av,high,second_suit_len,0.0047
gbt_av,high,third_suit_len,0.0042
