model,opponent,contract,net_eppd_delta,deals_total,win_rate
selected_two_stage_av,selected_ols_av,high,-1.5189,106,0.217
selected_two_stage_av,selected_ols_av,low,-0.7579,190,0.3158
selected_two_stage_av,selected_ols_av,pooled,0.684,2500,0.5356
selected_ols_av,selected_two_stage_av,suit,-0.9897,2226,0.2727
selected_ols_av,selected_two_stage_av,high,1.3936,94,0.5957
selected_ols_av,selected_two_stage_av,low,0.6056,180,0.4889
selected_ols_av,selected_two_stage_av,pooled,-0.7852,2500,0.3004
selected_two_stage_av,full_ols_av,suit,1.4693,2018,0.6125
selected_two_stage_av,full_ols_av,high,-0.3068,176,0.3977
selected_two_stage_av,full_ols_av,low,0.3039,306,0.4706
selected_two_stage_av,full_ols_av,pooled,1.2016,2500,0.58
full_ols_av,selected_two_stage_av,suit,-1.3939,2036,0.224
full_ols_av,selected_two_stage_av,high,0.0919,185,0.427
full_ols_av,selected_two_stage_av,low,-0.405,279,0.3692
full_ols_av,selected_two_stage_av,pooled,-1.1736,2500,0.2552
selected_two_stage_av,stricthellraiser,suit,2.636,2497,0.4149
selected_two_stage_av,stricthellraiser,low,7.3333,3,1.0
selected_two_stage_av,stricthellraiser,pooled,2.6416,2500,0.4156
stricthellraiser,selected_two_stage_av,suit,-3.0457,2493,0.3979
stricthellraiser,selected_two_stage_av,low,-3.8571,7,0.1429
stricthellraiser,selected_two_stage_av,pooled,-3.048,2500,0.3972
selected_two_stage_av,rankthetank,suit,10.4836,2500,0.8996
selected_two_stage_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,selected_two_stage_av,suit,-10.52,2500,0.1024
rankthetank,selected_two_stage_av,pooled,-10.52,2500,0.1024
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.0297,1821,0.4091
selected_two_stage_av,anchor_hybrid_r0_full,high,0.6945,311,0.4759
selected_two_stage_av,anchor_hybrid_r0_full,low,0.0408,368,0.3886
selected_two_stage_av,anchor_hybrid_r0_full,pooled,0.114,2500,0.4144
anchor_hybrid_r0_full,selected_two_stage_av,suit,-0.3032,1837,0.4594
anchor_hybrid_r0_full,selected_two_stage_av,high,-0.6087,276,0.4094
anchor_hybrid_r0_full,selected_two_stage_av,low,-0.7468,387,0.4083
anchor_hybrid_r0_full,selected_two_stage_av,pooled,-0.4056,2500,0.446
gbt_av,gbt_av,suit,-0.1039,1916,0.4379
gbt_av,gbt_av,high,-0.3112,241,0.4232
gbt_av,gbt_av,low,-0.1778,343,0.4286
gbt_av,gbt_av,pooled,-0.134,2500,0.4352
gbt_av,constrained_ols_av,suit,1.5782,1892,0.6348
gbt_av,constrained_ols_av,high,1.6614,254,0.6339
gbt_av,constrained_ols_av,low,1.4379,354,0.5876
gbt_av,constrained_ols_av,pooled,1.5668,2500,0.628
constrained_ols_av,gbt_av,suit,-1.4963,1894,0.2154
constrained_ols_av,gbt_av,high,-1.1208,265,0.2491
constrained_ols_av,gbt_av,low,-0.8035,341,0.2962
constrained_ols_av,gbt_av,pooled,-1.362,2500,0.23
gbt_av,selected_ols_av,suit,1.5385,1846,0.6376
gbt_av,selected_ols_av,high,1.669,281,0.6228
gbt_av,selected_ols_av,low,1.3378,373,0.5764
gbt_av,selected_ols_av,pooled,1.5232,2500,0.6268
selected_ols_av,gbt_av,suit,-1.568,1854,0.2044
selected_ols_av,gbt_av,high,-1.0884,294,0.2551
selected_ols_av,gbt_av,low,-0.6278,352,0.3068
selected_ols_av,gbt_av,pooled,-1.3792,2500,0.2248
gbt_av,full_ols_av,suit,1.958,1808,0.6809
gbt_av,full_ols_av,high,1.2663,323,0.5759
gbt_av,full_ols_av,low,1.2087,369,0.5691
gbt_av,full_ols_av,pooled,1.758,2500,0.6508
full_ols_av,gbt_av,suit,-1.9671,1825,0.154
full_ols_av,gbt_av,high,-0.8762,323,0.3034
full_ols_av,gbt_av,low,-0.9261,352,0.3125
full_ols_av,gbt_av,pooled,-1.6796,2500,0.1956
gbt_av,stricthellraiser,suit,3.2187,2359,0.5468
gbt_av,stricthellraiser,high,1.619,42,0.7619
gbt_av,stricthellraiser,low,1.4444,99,0.7879
gbt_av,stricthellraiser,pooled,3.1216,2500,0.56
stricthellraiser,gbt_av,suit,-3.891,2339,0.3258
stricthellraiser,gbt_av,high,-0.8491,53,0.2264
stricthellraiser,gbt_av,low,-0.8333,108,0.2407
stricthellraiser,gbt_av,pooled,-3.6944,2500,0.32
gbt_av,rankthetank,suit,10.2891,2459,0.8935
gbt_av,rankthetank,high,-2.25,8,0.375
gbt_av,rankthetank,low,-8.8788,33,0.1515
gbt_av,rankthetank,pooled,9.996,2500,0.882
rankthetank,gbt_av,suit,-10.2914,2467,0.1082
rankthetank,gbt_av,high,10.1,10,0.8
rankthetank,gbt_av,low,11.5217,23,0.913
rankthetank,gbt_av,pooled,-10.0092,2500,0.1184
gbt_av,anchor_hybrid_r0_full,suit,0.6081,1929,0.5034
gbt_av,anchor_hybrid_r0_full,high,0.7946,258,0.5271
gbt_av,anchor_hybrid_r0_full,low,0.2204,313,0.5144
gbt_av,anchor_hybrid_r0_full,pooled,0.5788,2500,0.5072
anchor_hybrid_r0_full,gbt_av,suit,-0.8373,1936,0.3642
anchor_hybrid_r0_full,gbt_av,high,-0.8917,240,0.3833
anchor_hybrid_r0_full,gbt_av,low,-0.6966,323,0.3839
anchor_hybrid_r0_full,gbt_av,pooled,-0.824,2500,0.3684
constrained_ols_av,constrained_ols_av,suit,-0.0309,1875,0.4139
constrained_ols_av,constrained_ols_av,high,-0.3294,170,0.3706
constrained_ols_av,constrained_ols_av,low,-0.0286,455,0.3868
constrained_ols_av,constrained_ols_av,pooled,-0.0508,2500,0.406
constrained_ols_av,selected_ols_av,suit,0.0424,1841,0.428
constrained_ols_av,selected_ols_av,high,-0.1171,205,0.3902
constrained_ols_av,selected_ols_av,low,-0.1982,454,0.3722
constrained_ols_av,selected_ols_av,pooled,-0.0144,2500,0.4148
selected_ols_av,constrained_ols_av,suit,-0.1254,1826,0.4042
selected_ols_av,constrained_ols_av,high,-0.4608,204,0.3775
selected_ols_av,constrained_ols_av,low,-0.0021,470,0.3723
selected_ols_av,constrained_ols_av,pooled,-0.1296,2500,0.396
constrained_ols_av,full_ols_av,suit,1.619,1601,0.6177
constrained_ols_av,full_ols_av,high,-0.4086,350,0.3829
constrained_ols_av,full_ols_av,low,0.0911,549,0.4226
constrained_ols_av,full_ols_av,pooled,0.9996,2500,0.542
full_ols_av,constrained_ols_av,suit,-1.604,1596,0.2118
full_ols_av,constrained_ols_av,high,-0.1089,358,0.4078
full_ols_av,constrained_ols_av,low,-0.0623,546,0.3864
full_ols_av,constrained_ols_av,pooled,-1.0532,2500,0.278
constrained_ols_av,stricthellraiser,suit,1.2186,2479,0.3566
constrained_ols_av,stricthellraiser,high,6.0,4,1.0
constrained_ols_av,stricthellraiser,low,5.0588,17,1.0
constrained_ols_av,stricthellraiser,pooled,1.2524,2500,0.362
stricthellraiser,constrained_ols_av,suit,-1.6197,2482,0.4025
stricthellraiser,constrained_ols_av,high,4.0,2,0.5
stricthellraiser,constrained_ols_av,low,-2.625,16,0.125
stricthellraiser,constrained_ols_av,pooled,-1.6216,2500,0.4008
constrained_ols_av,rankthetank,suit,10.4836,2500,0.8996
constrained_ols_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,constrained_ols_av,suit,-10.52,2500,0.1024
rankthetank,constrained_ols_av,pooled,-10.52,2500,0.1024
constrained_ols_av,anchor_hybrid_r0_full,suit,-0.1119,1895,0.3604
constrained_ols_av,anchor_hybrid_r0_full,high,0.4042,240,0.4208
constrained_ols_av,anchor_hybrid_r0_full,low,-0.0274,365,0.3753
constrained_ols_av,anchor_hybrid_r0_full,pooled,-0.05,2500,0.3684
anchor_hybrid_r0_full,constrained_ols_av,suit,-0.1092,1877,0.488
anchor_hybrid_r0_full,constrained_ols_av,high,-0.6235,247,0.413
anchor_hybrid_r0_full,constrained_ols_av,low,-0.5904,376,0.4415
anchor_hybrid_r0_full,constrained_ols_av,pooled,-0.2324,2500,0.4736
selected_ols_av,selected_ols_av,suit,-0.0985,1818,0.4142
selected_ols_av,selected_ols_av,high,-0.2902,224,0.3884
selected_ols_av,selected_ols_av,low,-0.1834,458,0.3624
selected_ols_av,selected_ols_av,pooled,-0.1312,2500,0.4024
selected_ols_av,full_ols_av,suit,1.5957,1568,0.6186
selected_ols_av,full_ols_av,high,-0.7251,342,0.3392
selected_ols_av,full_ols_av,low,0.3458,590,0.439
selected_ols_av,full_ols_av,pooled,0.9832,2500,0.538
full_ols_av,selected_ols_av,suit,-1.7216,1591,0.2099
full_ols_av,selected_ols_av,high,0.4237,354,0.4661
full_ols_av,selected_ols_av,low,-0.3532,555,0.3477
full_ols_av,selected_ols_av,pooled,-1.114,2500,0.2768
selected_ols_av,stricthellraiser,suit,1.5822,2489,0.3519
selected_ols_av,stricthellraiser,high,4.0,3,1.0
selected_ols_av,stricthellraiser,low,4.25,8,0.75
selected_ols_av,stricthellraiser,pooled,1.5936,2500,0.354
stricthellraiser,selected_ols_av,suit,-1.8837,2486,0.4083
stricthellraiser,selected_ols_av,high,1.6667,3,0.3333
stricthellraiser,selected_ols_av,low,-2.8182,11,0.0909
stricthellraiser,selected_ols_av,pooled,-1.8836,2500,0.4068
selected_ols_av,rankthetank,suit,10.4836,2500,0.8996
selected_ols_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,selected_ols_av,suit,-10.52,2500,0.1024
rankthetank,selected_ols_av,pooled,-10.52,2500,0.1024
selected_ols_av,anchor_hybrid_r0_full,suit,-0.0158,1898,0.3762
selected_ols_av,anchor_hybrid_r0_full,high,0.2212,208,0.4087
selected_ols_av,anchor_hybrid_r0_full,low,0.1117,394,0.3883
selected_ols_av,anchor_hybrid_r0_full,pooled,0.024,2500,0.3808
anchor_hybrid_r0_full,selected_ols_av,suit,-0.1656,1872,0.4856
anchor_hybrid_r0_full,selected_ols_av,high,-0.4064,219,0.4658
anchor_hybrid_r0_full,selected_ols_av,low,-0.7555,409,0.4108
anchor_hybrid_r0_full,selected_ols_av,pooled,-0.2832,2500,0.4716
full_ols_av,full_ols_av,suit,0.0113,1058,0.4301
full_ols_av,full_ols_av,high,-0.2387,687,0.393
full_ols_av,full_ols_av,low,-0.0927,755,0.396
full_ols_av,full_ols_av,pooled,-0.0888,2500,0.4096
full_ols_av,stricthellraiser,suit,1.2585,2426,0.3693
full_ols_av,stricthellraiser,high,4.5882,17,1.0
full_ols_av,stricthellraiser,low,1.8421,57,0.7368
full_ols_av,stricthellraiser,pooled,1.2944,2500,0.382
stricthellraiser,full_ols_av,suit,-1.4697,2425,0.3938
stricthellraiser,full_ols_av,high,-2.28,25,0.12
stricthellraiser,full_ols_av,low,-0.38,50,0.18
stricthellraiser,full_ols_av,pooled,-1.456,2500,0.3868
full_ols_av,rankthetank,suit,10.4836,2500,0.8996
full_ols_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,full_ols_av,suit,-10.52,2500,0.1024
rankthetank,full_ols_av,pooled,-10.52,2500,0.1024
full_ols_av,anchor_hybrid_r0_full,suit,-0.2461,1711,0.3431
full_ols_av,anchor_hybrid_r0_full,high,1.127,378,0.5106
full_ols_av,anchor_hybrid_r0_full,low,0.545,411,0.4526
full_ols_av,anchor_hybrid_r0_full,pooled,0.0916,2500,0.3864
anchor_hybrid_r0_full,full_ols_av,suit,-0.0119,1678,0.5203
anchor_hybrid_r0_full,full_ols_av,high,-1.1813,386,0.3161
anchor_hybrid_r0_full,full_ols_av,low,-0.9794,436,0.3784
anchor_hybrid_r0_full,full_ols_av,pooled,-0.3612,2500,0.464
stricthellraiser,stricthellraiser,suit,-0.2352,2500,0.4912
stricthellraiser,stricthellraiser,pooled,-0.2352,2500,0.4912
stricthellraiser,rankthetank,suit,-12.3992,2500,0.0768
stricthellraiser,rankthetank,pooled,-12.3992,2500,0.0768
rankthetank,stricthellraiser,suit,12.092,2500,0.9148
rankthetank,stricthellraiser,pooled,12.092,2500,0.9148
stricthellraiser,anchor_hybrid_r0_full,suit,-4.623,2448,0.3096
stricthellraiser,anchor_hybrid_r0_full,high,-1.1818,22,0.1818
stricthellraiser,anchor_hybrid_r0_full,low,-0.8,30,0.2667
stricthellraiser,anchor_hybrid_r0_full,pooled,-4.5468,2500,0.308
anchor_hybrid_r0_full,stricthellraiser,suit,3.9522,2448,0.5413
anchor_hybrid_r0_full,stricthellraiser,high,2.125,24,0.75
anchor_hybrid_r0_full,stricthellraiser,low,2.1071,28,0.7857
anchor_hybrid_r0_full,stricthellraiser,pooled,3.914,2500,0.546
rankthetank,rankthetank,suit,0.4572,2500,0.5192
rankthetank,rankthetank,pooled,0.4572,2500,0.5192
rankthetank,anchor_hybrid_r0_full,suit,-10.4962,2499,0.1024
rankthetank,anchor_hybrid_r0_full,high,-4.0,1,0.0
rankthetank,anchor_hybrid_r0_full,pooled,-10.4936,2500,0.1024
anchor_hybrid_r0_full,rankthetank,suit,10.4624,2500,0.8992
anchor_hybrid_r0_full,rankthetank,pooled,10.4624,2500,0.8992
anchor_hybrid_r0_full,anchor_hybrid_r0_full,suit,-0.2403,1598,0.4412
anchor_hybrid_r0_full,anchor_hybrid_r0_full,high,-0.5468,203,0.4138
anchor_hybrid_r0_full,anchor_hybrid_r0_full,low,-0.4245,278,0.446
anchor_hybrid_r0_full,anchor_hybrid_r0_full,pooled,-0.2452,2500,0.3652
