model,contract,rank,feature_name,importance
gbt_av,high,1,is_loner,0.684
gbt_av,high,2,bid_n,0.1591
gbt_av,high,3,bid_n_sq,0.0635
gbt_av,high,4,is_moon,0.0554
gbt_av,high,5,quick_tricks,0.008
gbt_av,high,6,offsuit_non_ace_count,0.0048
gbt_av,high,7,offsuit_aces,0.0042
gbt_av,high,8,offsuit_best_rank_sum,0.0025
gbt_av,high,9,hand_value,0.0023
gbt_av,high,10,partner_level_high,0.0018
gbt_av,high,11,offsuit_secondbest_rank_sum,0.0014
gbt_av,high,12,max_suit_len,0.0012
gbt_av,high,13,losing_tricks_count,0.0012
gbt_av,high,14,high_card_count,0.0009
gbt_av,high,15,offsuit_suits_with_ace_and_king,0.0008
gbt_av,high,16,offsuit_suits_with_double_ace,0.0008
gbt_av,high,17,third_suit_len,0.0007
gbt_av,high,18,low_card_count,0.0006
gbt_av,high,19,offsuit_queen_count_total,0.0006
gbt_av,high,20,current_high_bid,0.0006
gbt_av,high,21,offsuit_tens_count,0.0006
gbt_av,high,22,offsuit_king_count_total,0.0006
gbt_av,high,23,offsuit_suits_with_ace,0.0005
gbt_av,high,24,partner_passed,0.0005
gbt_av,high,25,opp_right_level_low,0.0003
gbt_av,high,26,num_doubletons,0.0003
gbt_av,high,27,seat_rel_3,0.0003
gbt_av,high,28,auction_position,0.0003
gbt_av,high,29,num_singletons,0.0002
gbt_av,high,30,second_suit_len,0.0002
gbt_av,high,31,void_count,0.0002
gbt_av,high,32,opp_left_passed,0.0002
gbt_av,high,33,fourth_suit_len,0.0002
gbt_av,high,34,opp_right_level_high,0.0002
gbt_av,high,35,opp_right_passed,0.0002
gbt_av,high,36,seat_rel_2,0.0002
gbt_av,high,37,partner_level_low,0.0001
gbt_av,high,38,double_ten_jack_count,0.0001
gbt_av,high,39,opp_left_level_low,0.0001
gbt_av,high,40,seat_rel_1,0.0001
gbt_av,high,41,offsuit_length_3plus_count,0.0001
gbt_av,high,42,opp_left_level_high,0.0001
gbt_av,high,43,is_dealer,0.0
gbt_av,high,44,bowers,0.0
gbt_av,high,45,highest_trump_rank,0.0
gbt_av,high,46,is_high,0.0
gbt_av,high,47,is_low,0.0
gbt_av,high,48,opp_left_level_off_color,0.0
gbt_av,high,49,opp_left_level_same_color,0.0
gbt_av,high,50,opp_left_level_same_suit,0.0
gbt_av,high,51,opp_right_level_off_color,0.0
gbt_av,high,52,opp_right_level_same_color,0.0
gbt_av,high,53,opp_right_level_same_suit,0.0
gbt_av,high,54,partner_level_off_color,0.0
gbt_av,high,55,partner_level_same_color,0.0
