model,contract,deals,fraction
modeloespecifico,suit,2350,0.94
modeloespecifico,high,70,0.028
modeloespecifico,low,80,0.032
selected_two_stage_av,suit,2396,0.9584
selected_two_stage_av,high,21,0.0084
selected_two_stage_av,low,83,0.0332
gbt_av,suit,1916,0.7664
gbt_av,high,241,0.0964
gbt_av,low,343,0.1372
constrained_ols_av,suit,1875,0.75
constrained_ols_av,high,170,0.068
constrained_ols_av,low,455,0.182
selected_ols_av,suit,1818,0.7272
selected_ols_av,high,224,0.0896
selected_ols_av,low,458,0.1832
full_ols_av,suit,1058,0.4232
full_ols_av,high,687,0.2748
full_ols_av,low,755,0.302
stricthellraiser,suit,2500,1.0
stricthellraiser,high,0,0.0
stricthellraiser,low,0,0.0
rankthetank,suit,2500,1.0
rankthetank,high,0,0.0
rankthetank,low,0,0.0
anchor_hybrid_r0_full,suit,1598,0.7686
anchor_hybrid_r0_full,high,203,0.0976
anchor_hybrid_r0_full,low,278,0.1337
