model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,5000,1.0,0.9467,1.6332,comparator
selected_two_stage_av,regular,5000,1.0,0.9953,1.9621,comparator
gbt_av,regular,4977,0.9941,0.9758,1.9548,comparator
full_ols_av,regular,5000,1.0,0.9999,2.2778,comparator
modeloespecifico,regular,30000,,0.4363,-0.0268,h2h_self_play
selected_two_stage_av,regular,30000,,0.4245,0.0072,h2h_self_play
gbt_av,regular,30000,,0.46,-0.0177,h2h_self_play
full_ols_av,regular,30000,,0.4088,-0.0482,h2h_self_play
anchor_hybrid_r0_full,regular,24720,,0.4616,-0.0457,h2h_self_play
