model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-0.0268,-0.1279,0.0751,0.4363,30000
modeloespecifico,modeloespecifico,suit,-0.0272,-0.1303,0.0764,0.4359,28248
modeloespecifico,modeloespecifico,high,0.1027,-0.5537,0.7887,0.4504,837
modeloespecifico,modeloespecifico,low,-0.1333,-0.7492,0.4849,0.436,915
modeloespecifico,modeloespecifico,bid_type:regular,-0.0268,-0.1279,0.0751,0.4363,30000
modeloespecifico,selected_two_stage_av,pooled,0.1499,0.0461,0.2523,0.4395,30000
modeloespecifico,selected_two_stage_av,suit,0.1106,0.006,0.2144,0.4341,28750
modeloespecifico,selected_two_stage_av,high,1.6808,0.903,2.479,0.6102,567
modeloespecifico,selected_two_stage_av,low,0.5344,-0.2166,1.2735,0.5241,683
modeloespecifico,selected_two_stage_av,bid_type:regular,0.1499,0.0461,0.2523,0.4395,30000
selected_two_stage_av,modeloespecifico,pooled,-0.2179,-0.3215,-0.1167,0.4311,30000
selected_two_stage_av,modeloespecifico,suit,-0.1649,-0.2689,-0.0614,0.4366,28768
selected_two_stage_av,modeloespecifico,high,-1.602,-2.3578,-0.8234,0.2789,588
selected_two_stage_av,modeloespecifico,low,-1.3214,-2.0247,-0.6239,0.3261,644
selected_two_stage_av,modeloespecifico,bid_type:regular,-0.2179,-0.3215,-0.1167,0.4311,30000
modeloespecifico,gbt_av,pooled,-0.5655,-0.6748,-0.4557,0.352,30000
modeloespecifico,gbt_av,suit,-0.3873,-0.503,-0.2719,0.379,24612
modeloespecifico,gbt_av,high,-1.5128,-1.9577,-1.0422,0.2385,1950
modeloespecifico,gbt_av,low,-1.304,-1.6738,-0.9268,0.2231,3438
modeloespecifico,gbt_av,bid_type:regular,-0.5655,-0.6748,-0.4557,0.352,30000
gbt_av,modeloespecifico,pooled,0.5318,0.4218,0.641,0.5568,30000
gbt_av,modeloespecifico,suit,0.3671,0.2499,0.4825,0.5277,24725
gbt_av,modeloespecifico,high,1.5202,1.0476,1.9696,0.6721,1955
gbt_av,modeloespecifico,low,1.1762,0.7956,1.5475,0.7057,3320
gbt_av,modeloespecifico,bid_type:regular,0.5318,0.4218,0.641,0.5568,30000
modeloespecifico,full_ols_av,pooled,1.0734,0.9791,1.1677,0.6022,30000
modeloespecifico,full_ols_av,suit,1.094,0.9949,1.1905,0.6092,27025
modeloespecifico,full_ols_av,high,1.0384,0.5037,1.578,0.5541,1119
modeloespecifico,full_ols_av,low,0.7947,0.3924,1.2055,0.5291,1856
modeloespecifico,full_ols_av,bid_type:regular,1.0734,0.9791,1.1677,0.6022,30000
full_ols_av,modeloespecifico,pooled,-1.0983,-1.1917,-1.0055,0.2526,30000
full_ols_av,modeloespecifico,suit,-1.0952,-1.1921,-0.997,0.2459,26986
full_ols_av,modeloespecifico,high,-1.016,-1.5552,-0.4633,0.3203,1124
