model,bid_rate,make_rate,pass_rate
modeloespecifico,1.0,0.9468,0.0
selected_two_stage_av,1.0,0.996,0.0
gbt_av,0.986,0.9807,0.014
full_ols_av,1.0,1.0,0.0
