model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
stricthellraiser,modeloespecifico,low,-4.0,-7.2,-0.8,0.0,5
stricthellraiser,modeloespecifico,bid_type:regular,-5.2608,-5.5596,-4.9592,0.3436,2500
modeloespecifico,rankthetank,pooled,10.4808,10.2456,10.71,0.8996,2500
modeloespecifico,rankthetank,suit,10.4808,10.2456,10.71,0.8996,2500
modeloespecifico,rankthetank,bid_type:regular,10.4808,10.2456,10.71,0.8996,2500
rankthetank,modeloespecifico,pooled,-10.5044,-10.7368,-10.2652,0.1024,2500
rankthetank,modeloespecifico,suit,-10.5044,-10.7368,-10.2652,0.1024,2500
rankthetank,modeloespecifico,bid_type:regular,-10.5044,-10.7368,-10.2652,0.1024,2500
modeloespecifico,anchor_hybrid_r0_full,pooled,0.232,0.0248,0.4452,0.4548,2500
modeloespecifico,anchor_hybrid_r0_full,suit,0.3443,0.1282,0.5646,0.4735,2129
modeloespecifico,anchor_hybrid_r0_full,high,-0.415,-1.4694,0.6735,0.3605,147
modeloespecifico,anchor_hybrid_r0_full,low,-0.4107,-1.2366,0.4421,0.3393,224
modeloespecifico,anchor_hybrid_r0_full,bid_type:regular,0.232,0.0248,0.4452,0.4548,2500
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.5584,-0.7636,-0.3456,0.3988,2500
anchor_hybrid_r0_full,modeloespecifico,suit,-0.6416,-0.8642,-0.4214,0.3751,2157
anchor_hybrid_r0_full,modeloespecifico,high,-0.1857,-1.2643,0.8357,0.5214,140
anchor_hybrid_r0_full,modeloespecifico,low,0.069,-0.7931,0.9458,0.5665,203
anchor_hybrid_r0_full,modeloespecifico,bid_type:regular,-0.5584,-0.7636,-0.3456,0.3988,2500
selected_two_stage_av,selected_two_stage_av,pooled,0.0488,-0.1528,0.2556,0.432,2500
selected_two_stage_av,selected_two_stage_av,suit,0.0384,-0.1735,0.244,0.4299,2398
selected_two_stage_av,selected_two_stage_av,high,0.8611,-1.3056,2.9729,0.5556,36
selected_two_stage_av,selected_two_stage_av,low,-0.0152,-1.3485,1.3333,0.4394,66
selected_two_stage_av,selected_two_stage_av,bid_type:regular,0.0488,-0.1528,0.2556,0.432,2500
selected_two_stage_av,gbt_av,pooled,-1.06,-1.278,-0.8468,0.3004,2500
selected_two_stage_av,gbt_av,suit,-0.9459,-1.1823,-0.7091,0.3205,1997
selected_two_stage_av,gbt_av,high,-2.6207,-3.3655,-1.8345,0.1724,145
selected_two_stage_av,gbt_av,low,-1.0642,-1.7486,-0.3631,0.2402,358
selected_two_stage_av,gbt_av,bid_type:regular,-1.06,-1.278,-0.8468,0.3004,2500
gbt_av,selected_two_stage_av,pooled,0.9048,0.684,1.1248,0.5804,2500
gbt_av,selected_two_stage_av,suit,0.9313,0.697,1.1609,0.5601,1964
gbt_av,selected_two_stage_av,high,1.6918,0.717,2.6291,0.7044,159
gbt_av,selected_two_stage_av,low,0.435,-0.2785,1.122,0.634,377
gbt_av,selected_two_stage_av,bid_type:regular,0.9048,0.684,1.1248,0.5804,2500
selected_two_stage_av,constrained_ols_av,pooled,0.8548,0.6804,1.0272,0.5504,2500
selected_two_stage_av,constrained_ols_av,suit,1.0074,0.8283,1.1813,0.5686,2283
selected_two_stage_av,constrained_ols_av,high,-0.5692,-1.9846,0.9077,0.4154,65
selected_two_stage_av,constrained_ols_av,low,-0.8289,-1.5066,-0.1316,0.3355,152
selected_two_stage_av,constrained_ols_av,bid_type:regular,0.8548,0.6804,1.0272,0.5504,2500
constrained_ols_av,selected_two_stage_av,pooled,-1.0048,-1.1772,-0.8312,0.288,2500
constrained_ols_av,selected_two_stage_av,suit,-1.1349,-1.317,-0.9558,0.2706,2284
constrained_ols_av,selected_two_stage_av,high,0.6622,-0.5676,1.8784,0.5,74
constrained_ols_av,selected_two_stage_av,low,0.2183,-0.6479,1.0634,0.4577,142
constrained_ols_av,selected_two_stage_av,bid_type:regular,-1.0048,-1.1772,-0.8312,0.288,2500
selected_two_stage_av,selected_ols_av,pooled,0.756,0.5784,0.9316,0.5356,2500
selected_two_stage_av,selected_ols_av,suit,0.9669,0.7865,1.1532,0.5614,2239
selected_two_stage_av,selected_ols_av,high,-1.4949,-2.4646,-0.4848,0.2828,99
selected_two_stage_av,selected_ols_av,low,-0.784,-1.463,-0.0864,0.3333,162
selected_two_stage_av,selected_ols_av,bid_type:regular,0.756,0.5784,0.9316,0.5356,2500
selected_ols_av,selected_two_stage_av,pooled,-0.8744,-1.052,-0.7016,0.3104,2500
selected_ols_av,selected_two_stage_av,suit,-1.0521,-1.2328,-0.8705,0.2853,2247
selected_ols_av,selected_two_stage_av,high,0.8571,-0.2,1.9048,0.5619,105
selected_ols_av,selected_two_stage_av,low,0.5946,-0.2635,1.4189,0.5135,148
selected_ols_av,selected_two_stage_av,bid_type:regular,-0.8744,-1.052,-0.7016,0.3104,2500
selected_two_stage_av,full_ols_av,pooled,1.0864,0.9216,1.2528,0.5572,2500
selected_two_stage_av,full_ols_av,suit,1.6582,1.4822,1.8337,0.6312,1852
selected_two_stage_av,full_ols_av,high,-0.2456,-1.0117,0.5322,0.4152,171
selected_two_stage_av,full_ols_av,low,-0.6562,-1.0692,-0.2431,0.3208,477
selected_two_stage_av,full_ols_av,bid_type:regular,1.0864,0.9216,1.2528,0.5572,2500
full_ols_av,selected_two_stage_av,pooled,-1.2116,-1.3792,-1.0428,0.2712,2500
full_ols_av,selected_two_stage_av,suit,-1.6786,-1.857,-1.4986,0.1996,1839
full_ols_av,selected_two_stage_av,high,0.1761,-0.517,0.8807,0.4261,176
full_ols_av,selected_two_stage_av,low,0.0557,-0.3918,0.4969,0.4866,485
full_ols_av,selected_two_stage_av,bid_type:regular,-1.2116,-1.3792,-1.0428,0.2712,2500
selected_two_stage_av,stricthellraiser,pooled,2.5704,2.2944,2.8472,0.4248,2500
selected_two_stage_av,stricthellraiser,suit,2.5633,2.2833,2.8386,0.4239,2496
selected_two_stage_av,stricthellraiser,low,7.0,6.0,9.0,1.0,4
selected_two_stage_av,stricthellraiser,bid_type:regular,2.5704,2.2944,2.8472,0.4248,2500
stricthellraiser,selected_two_stage_av,pooled,-3.042,-3.3136,-2.7696,0.392,2500
stricthellraiser,selected_two_stage_av,suit,-3.0417,-3.3208,-2.7686,0.3925,2494
stricthellraiser,selected_two_stage_av,low,-3.1667,-7.3333,2.8333,0.1667,6
stricthellraiser,selected_two_stage_av,bid_type:regular,-3.042,-3.3136,-2.7696,0.392,2500
selected_two_stage_av,rankthetank,pooled,10.4836,10.2476,10.712,0.8996,2500
selected_two_stage_av,rankthetank,suit,10.4836,10.2476,10.712,0.8996,2500
selected_two_stage_av,rankthetank,bid_type:regular,10.4836,10.2476,10.712,0.8996,2500
rankthetank,selected_two_stage_av,pooled,-10.52,-10.7516,-10.2816,0.1024,2500
rankthetank,selected_two_stage_av,suit,-10.52,-10.7516,-10.2816,0.1024,2500
