model,facet,net_eppd,ci_low,ci_high,bid_rate,make_rate,net_cvar_5,rank
full_ols_av,pooled,2.2916,2.2052,2.3792,1.0,1.0,-4.408,1
gbt_av,pooled,2.0136,1.9132,2.1132,0.986,0.9807,-7.1463,2
selected_two_stage_av,pooled,1.954,1.8624,2.0478,1.0,0.996,-5.048,3
modeloespecifico,pooled,1.6044,1.4888,1.7198,1.0,0.9468,-11.152,4
