model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,high,0.5029,4.3012,121954,15184
constrained_ols_av,low,0.5088,4.2198,121954,15184
constrained_ols_av,pass,0.0066,3.6993,16000,2000
constrained_ols_av,suit,0.5524,4.0994,487816,60736
full_ols_av,high,0.5316,4.1923,1229966,153083
full_ols_av,low,0.517,4.2174,1229966,153083
full_ols_av,pass,0.0545,3.3816,160000,20000
full_ols_av,suit,0.5669,4.0305,4919864,612332
gbt_av,high,0.5636,3.7721,1229966,153083
gbt_av,low,0.5506,3.8028,1229966,153083
gbt_av,pass,0.0854,3.2702,160000,20000
gbt_av,suit,0.6041,3.5269,4919864,612332
selected_ols_av,high,0.5025,4.3021,121954,15184
selected_ols_av,low,0.5091,4.2187,121954,15184
selected_ols_av,pass,0.0557,3.443,16000,2000
selected_ols_av,suit,0.5522,4.1012,487816,60736
selected_two_stage_av,high,0.5205,4.2344,1229966,153083
selected_two_stage_av,low,0.5055,4.2598,1229966,153083
selected_two_stage_av,pass,0.0484,3.4208,160000,20000
selected_two_stage_av,suit,,,4919864,612332
