model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,modeloespecifico,suit,-0.16,-0.3681,0.0438,0.4209,2350
modeloespecifico,modeloespecifico,high,-0.6,-1.9714,0.8,0.4429,70
modeloespecifico,modeloespecifico,low,-0.1625,-1.4125,1.05,0.3875,80
modeloespecifico,modeloespecifico,bid_type:regular,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,selected_two_stage_av,pooled,0.21,-0.004,0.4268,0.436,2500
modeloespecifico,selected_two_stage_av,suit,0.181,-0.0406,0.4022,0.4304,2342
modeloespecifico,selected_two_stage_av,high,0.5962,-1.1731,2.25,0.6154,52
modeloespecifico,selected_two_stage_av,low,0.6604,-0.4057,1.7264,0.4717,106
modeloespecifico,selected_two_stage_av,bid_type:regular,0.21,-0.004,0.4268,0.436,2500
selected_two_stage_av,modeloespecifico,pooled,-0.4876,-0.6932,-0.282,0.4232,2500
selected_two_stage_av,modeloespecifico,suit,-0.4286,-0.6469,-0.2153,0.429,2359
selected_two_stage_av,modeloespecifico,high,-3.4091,-4.7273,-2.1364,0.1818,44
selected_two_stage_av,modeloespecifico,low,-0.5979,-1.6807,0.4536,0.3918,97
selected_two_stage_av,modeloespecifico,bid_type:regular,-0.4876,-0.6932,-0.282,0.4232,2500
modeloespecifico,gbt_av,pooled,-0.606,-0.832,-0.3744,0.33,2500
modeloespecifico,gbt_av,suit,-0.5748,-0.816,-0.3308,0.3477,2065
modeloespecifico,gbt_av,high,-1.3013,-2.4295,-0.0962,0.2115,156
modeloespecifico,gbt_av,low,-0.448,-1.2222,0.3477,0.2652,279
modeloespecifico,gbt_av,bid_type:regular,-0.6263,-0.8509,-0.403,0.3296,2494
modeloespecifico,gbt_av,bid_type:moon,-9.0,-20.0,13.0,0.25,4
modeloespecifico,gbt_av,bid_type:loner,41.5,41.0,42.0,1.0,2
gbt_av,modeloespecifico,pooled,0.4072,0.182,0.6356,0.55,2500
gbt_av,modeloespecifico,suit,0.3016,0.0567,0.5469,0.5257,2079
gbt_av,modeloespecifico,high,0.8085,-0.383,2.0709,0.617,141
gbt_av,modeloespecifico,low,0.9893,0.1893,1.775,0.6964,280
gbt_av,modeloespecifico,bid_type:regular,0.41,0.1884,0.6325,0.5503,2495
gbt_av,modeloespecifico,bid_type:moon,-21.5,-22.0,-21.0,0.0,2
gbt_av,modeloespecifico,bid_type:loner,12.6667,-42.0,40.0,0.6667,3
modeloespecifico,constrained_ols_av,pooled,1.196,1.0128,1.3784,0.6212,2500
modeloespecifico,constrained_ols_av,suit,1.2842,1.0896,1.4751,0.6344,2210
modeloespecifico,constrained_ols_av,high,-0.0215,-1.1828,1.1613,0.5376,93
modeloespecifico,constrained_ols_av,low,0.7817,0.0914,1.4569,0.5127,197
modeloespecifico,constrained_ols_av,bid_type:regular,1.196,1.0128,1.3784,0.6212,2500
constrained_ols_av,modeloespecifico,pooled,-1.4376,-1.6128,-1.2584,0.2088,2500
constrained_ols_av,modeloespecifico,suit,-1.4539,-1.6404,-1.2621,0.1972,2236
constrained_ols_av,modeloespecifico,high,-1.7821,-2.9359,-0.6282,0.2949,78
constrained_ols_av,modeloespecifico,low,-1.0968,-1.8226,-0.3601,0.3118,186
