model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,2500,1.0,0.9496,1.6608,comparator
selected_two_stage_av,regular,2500,1.0,0.9936,1.8688,comparator
gbt_av,regular,2400,0.96,0.99,1.9968,comparator
constrained_ols_av,regular,2500,1.0,1.0,2.1944,comparator
selected_ols_av,regular,2500,1.0,1.0,2.0784,comparator
full_ols_av,regular,2500,1.0,1.0,2.2816,comparator
stricthellraiser,regular,2500,1.0,0.9472,0.1096,comparator
rankthetank,regular,2500,1.0,0.1476,-9.6972,comparator
modeloespecifico,regular,2500,,0.4204,-0.1724,h2h_self_play
selected_two_stage_av,regular,2500,,0.424,0.0016,h2h_self_play
gbt_av,regular,2487,,0.4351,-0.15,h2h_self_play
gbt_av,moon,8,,0.25,-10.375,h2h_self_play
gbt_av,loner,5,,0.8,24.2,h2h_self_play
constrained_ols_av,regular,2500,,0.406,-0.0508,h2h_self_play
selected_ols_av,regular,2500,,0.4024,-0.1312,h2h_self_play
full_ols_av,regular,2500,,0.4096,-0.0888,h2h_self_play
stricthellraiser,regular,2500,,0.4912,-0.2352,h2h_self_play
rankthetank,regular,2500,,0.5192,0.4572,h2h_self_play
anchor_hybrid_r0_full,regular,2079,,0.4392,-0.2949,h2h_self_play
