model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,high,0.872,3.6495,154449,19324
constrained_ols_av,low,0.8654,3.7082,154449,19324
constrained_ols_av,pass,0.0077,3.6569,16000,2000
constrained_ols_av,suit,0.8837,3.4962,617796,77296
full_ols_av,high,0.8737,3.6333,154449,19324
full_ols_av,low,0.8681,3.6679,154449,19324
full_ols_av,pass,0.0514,3.4038,16000,2000
full_ols_av,suit,0.8872,3.4611,617796,77296
gbt_av,high,0.8793,3.3114,154449,19324
gbt_av,low,0.8716,3.3888,154449,19324
gbt_av,pass,0.0445,3.3896,16000,2000
gbt_av,suit,0.8965,3.0362,617796,77296
selected_ols_av,high,0.872,3.6503,154449,19324
selected_ols_av,low,0.8654,3.7085,154449,19324
selected_ols_av,pass,0.043,3.4186,16000,2000
selected_ols_av,suit,0.8819,3.5296,617796,77296
selected_two_stage_av,high,0.872,3.6503,154449,19324
selected_two_stage_av,low,0.8654,3.7085,154449,19324
selected_two_stage_av,pass,0.043,3.4186,16000,2000
selected_two_stage_av,suit,,,617796,77296
