model,facet,net_eppd,ci_low,ci_high,bid_rate,make_rate,net_cvar_5,rank
full_ols_av,pooled,2.298,2.2128,2.3852,1.0,1.0,-4.376,1
selected_two_stage_av,pooled,1.954,1.8624,2.0478,1.0,0.996,-5.048,2
gbt_av,pooled,1.939,1.8326,2.0434,0.9954,0.9739,-8.1089,3
modeloespecifico,pooled,1.6044,1.4888,1.7198,1.0,0.9468,-11.152,4
