model,contract,net_eppd,bid_rate,pass_rate,make_rate,source
modeloespecifico,pooled,1.6044,1.0,0.0,0.9468,comparator
selected_two_stage_av,pooled,1.954,1.0,0.0,0.996,comparator
gbt_av,pooled,1.939,0.9954,0.0046,0.9739,comparator
full_ols_av,pooled,2.298,1.0,0.0,1.0,comparator
